Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Sapphire,Blue Sapphire,5.88,Cushion,Greenish Blue,EC,Heated,1155800.0,,,No,2025-09-02
Sapphire,Blue Sapphire,0.86,Oval,Greenish Blue,EC,Heated,46300.0,,6.9 x 4.9 mm,No,2025-09-02
Sapphire,Padparadscha Sapphire,0.77,Oval,Pinkish Orange,EC,Heated,80200.0,,6.8 x 5.2 mm,No,2025-09-02
Sapphire,Sapphire,1.24,Oval,Vivid,EC,Heated,84800.0,,7.5 x 5.8 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.77,Oval,Ice Blue,EC,Heated,107900.0,,8.7 x 7 mm,No,2025-09-02
Sapphire,Sapphire,1.18,Pear,Medium,EC,Heated,80200.0,,7.8 x 5.2 x 3.8 mm,No,2025-09-02
Sapphire,White Sapphire,1.23,Asscher,White,LC,Heated,67900.0,,6 x 5.5 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.55,Oval,Vivid Blue,LC,Heated,107900.0,,8.5 x 6.5 x 3.3 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.88,Oval,Ice Blue,LC,Heated,85700.0,,7 x 5 mm,No,2025-09-02
Sapphire,Blue Sapphire,2.24,Oval,Pastel Blue,EC,Heated,271300.0,,7.8 x 6.5 x 5.4 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.84,Round,Medium Blue,,Unheated,200400.0,,6.7 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.58,Emerald Cut,Greenish Blue,LC,Heated,178800.0,,6.7 x 6.35 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.37,Round,Blue,LC,Heated,131000.0,,6 mm,No,2025-09-02
Sapphire,Blue Sapphire,4.44,Oval,Vivid Blue,EC,Heated,889500.0,,9.1 x 7.1 x 5.2 mm,No,2025-09-02
Sapphire,Blue Sapphire,3.03,Oval,Royal Blue,EC,Heated,755200.0,,9.1 x 7.1 x 5.2 mm,No,2025-09-02
Sapphire,Sapphire,1.68,Cabochon,Color Change,EC,Unheated,178800.0,,4 mm,No,2025-09-02
Sapphire,Sapphire,2.56,Cabochon,Honey,EC,Unheated,209600.0,,4 mm,No,2025-09-02
Sapphire,Sapphire,1.93,Cabochon,Honey,EC,Unheated,172600.0,,4 mm,No,2025-09-02
Sapphire,Sapphire,,Cabochon,Honey,EC,Unheated,100200.0,,3 mm,No,2025-09-02
Sapphire,Blue Sapphire,13.26,Oval,Vivid Blue,EC,Heated,692000.0,,,No,2025-09-02
Sapphire,Blue Sapphire,11.63,Oval,Royal Blue,EC,Heated,692000.0,,,No,2025-09-02
Sapphire,Blue Sapphire,8.98,Oval,Royal Blue,EC,Heated,692000.0,,,No,2025-09-02
Sapphire,Blue Sapphire,17.82,Oval,Royal Blue,EC,Heated,678100.0,,,No,2025-09-02
Sapphire,Blue Sapphire,1.19,Pear,Medium Blue,EC,Heated,131000.0,,6.7 x 5.7 x 4.2 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.07,Oval,Royal Blue,EC,Heated,197300.0,,7.3 x 5.5 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.6,Cushion,Royal Blue,EC,Heated,197300.0,,7.5 x 5.8 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.51,Cushion,Medium Blue,EC,Heated,231200.0,,8 x 6 x 3 mm,No,2025-09-02
Sapphire,Blue Sapphire,1.19,Heart,Medium Blue,LC,Heated,200400.0,,6.3 mm,No,2025-09-02
Sapphire,Blue Sapphire,2.8,Oval,Cornflower Blue,LC,Heated,949300.0,,8.8 x 7.5 x 5.4 mm,No,2025-09-02
