name,price_text,price_value,currency,url,colour,weight_cts,dimensions,category,shape,origin,treatment,clarity,luster,hardness,transparency,cut_grade,certificate,sold_out_flag,scraped_at
amethyst,$260.00,260.0,USD,https://www.nishgems.com/gemstones/amethyst,,,,,,,,,,,,,,False,2025-09-01T14:57:13.043301+00:00
andalusite,$190.00,190.0,USD,https://www.nishgems.com/gemstones/andalusite,,,,,,,,,,,,,,False,2025-09-01T14:57:19.375632+00:00
cobalt spinel,$100.00,100.0,USD,https://www.nishgems.com/gemstones/cobalt-spinel,,,,,,,,,,,,,,False,2025-09-01T14:57:37.712068+00:00
lemon quartz,$350.00,350.0,USD,https://www.nishgems.com/gemstones/lemon-quartz,,,,,,,,,,,,,,False,2025-09-01T14:57:47.809717+00:00
moonstone,$200.00,200.0,USD,https://www.nishgems.com/gemstones/moonstone,,,,,,,,,,,,,,False,2025-09-01T14:57:58.929934+00:00
morganite,"$2,490.00",2490.0,USD,https://www.nishgems.com/gemstones/morganite,,,,,,,,,,,,,,False,2025-09-01T14:58:04.027720+00:00
opel,$490.00,490.0,USD,https://www.nishgems.com/gemstones/opel,,,,,,,,,,,,,,False,2025-09-01T14:58:10.686557+00:00
peridot,$250.00,250.0,USD,https://www.nishgems.com/gemstones/peridot,,,,,,,,,,,,,,False,2025-09-01T14:58:23.107710+00:00
ruby,$300.00,300.0,USD,https://www.nishgems.com/gemstones/ruby,,,,,,,,,,,,,,False,2025-09-01T14:58:27.625038+00:00
sample certificate,,,,https://www.nishgems.com/gemstones/sample-certificate,,,,,,,,,,,,,,False,2025-09-01T14:58:33.579843+00:00
sapphire,$336.00,336.0,USD,https://www.nishgems.com/gemstones/sapphire,,,,,,,,,,,,,,False,2025-09-01T14:58:39.082267+00:00
sinhalite,$300.00,300.0,USD,https://www.nishgems.com/gemstones/sinhalite,,,,,,,,,,,,,,False,2025-09-01T14:58:45.099672+00:00
sphalerite,"$1,650.00",1650.0,USD,https://www.nishgems.com/gemstones/sphalerite,,,,,,,,,,,,,,False,2025-09-01T14:58:51.172343+00:00
spinel,$100.00,100.0,USD,https://www.nishgems.com/gemstones/spinel,,,,,,,,,,,,,,False,2025-09-01T14:58:58.010234+00:00
tanzanite,"$3,250.00",3250.0,USD,https://www.nishgems.com/gemstones/tanzanite,,,,,,,,,,,,,,False,2025-09-01T14:59:03.346478+00:00
topaz,$150.00,150.0,USD,https://www.nishgems.com/gemstones/topaz,,,,,,,,,,,,,,False,2025-09-01T14:59:08.264173+00:00
tourmaline,$200.00,200.0,USD,https://www.nishgems.com/gemstones/tourmaline,,,,,,,,,,,,,,False,2025-09-01T14:59:13.422413+00:00
7.35 Cts Natural Amethyst Fancy Cut – Ideal for Stunning Custom Ring,$ 260.00,260.0,USD,https://www.nishgems.com/gemstones/view/SG-AMT0465-05,Purple,7.35,15.69 x 13.26 x 9.46,Amethyst,Fancy,Unknown,None,VVS,Sparkling,7.5,Yes,Excellent,Not yet,False,2025-09-01T14:59:55.547588+00:00
14.86 Cts Natural Amethyst Round Cut – February Birthstone Gemstone,$ 125.00,125.0,USD,https://www.nishgems.com/gemstones/view/AMT0506-11,Purple,14.86,16.01 x 16.00 x 11.43,Amethyst,Round,Sri Lanka,None,VVS,Sparkling,7.5,Yes,Excellent,Not yet,False,2025-09-01T15:00:15.098200+00:00
6.79 Cts Natural Purple Amethyst Cushion Cut – Stunning Gem for Jewelry,$ 250.00,250.0,USD,https://www.nishgems.com/gemstones/view/SG-AMT0465-04,Purple,6.79,12.34 x 12.44 x 8.48,Amethyst,Cushion,Unknown,None,VVS,Sparkling,7.5,Yes,Excellent,Not yet,False,2025-09-01T15:00:37.486790+00:00
Natural Purple Amethyst 6.18 Cts Emerald Loose Gemstone Anniversary Ring Gift,$ 575.00,575.0,USD,https://www.nishgems.com/gemstones/view/SG-AMT0465-02,Purple,6.18,11.98 x 10.78 x 8.14,Amethyst,Emerald,Unknown,None,VVS,Sparkling,7.0,Yes,Excellent,Not yet,False,2025-09-01T15:01:01.900273+00:00
Natural Purple Amethyst 5.18 Cts Cushion Loose Gemstone Anniversary Ring Gift,$ 550.00,550.0,USD,https://www.nishgems.com/gemstones/view/SG-AMT0465-01,Purple,5.18,11.02 x 10.13 x 8.06,Amethyst,Cushion,Unknown,None,VVS,Sparkling,7.0,Yes,Excellent,Not yet,False,2025-09-01T15:01:22.751858+00:00
Natural Precision Cut Purple Amethyst 15.60 Cts Sri Lanka Oval Loose Gemstone,$ 210.00,210.0,USD,https://www.nishgems.com/gemstones/view/AMT0506-09,Purple,15.60,19.00 x 14.70 x 11.54,Amethyst,Oval,Sri Lanka,None,VVS,Sparkling,7.0,Yes,Excellent,Not yet,False,2025-09-01T15:01:35.065226+00:00
15.72 Cts Natural Precision Cut Purple Amethyst Square Cushion Loose Gemstone,$ 420.00,420.0,USD,https://www.nishgems.com/gemstones/view/AMT0506-06,Purple,15.72,16.30 x 16.37 x 10.58,Amethyst,Cushion,Sri Lanka,None,VVS,Sparkling,7.0,Yes,Excellent,Not yet,False,2025-09-01T15:01:57.779493+00:00
Natural Untreated Purple Amethyst 24.12 Cts Round Precision Cut Loose Gemstone,$ 390.00,390.0,USD,https://www.nishgems.com/gemstones/view/AMT0347,Purple,24.12,19.72 x 19.68 x 13.51,Amethyst,Round,Unknown,None,VVS,Sparkling,7.0,Yes,Excellent,Not yet,False,2025-09-01T15:02:04.814265+00:00
