name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
4.00ct Natural Emerald,"Rs 1,622,000.00",1622000.0,LKR,https://wijayagems.com/collections/emerald/products/4-00ct-natural-emerald,Natural Emerald,,Eye clean Colour,10.1 × 8.4 × 6.8 mm,Green Size,Octagon,,2025-09-01T13:17:16.552063+00:00,"Gem type: Natural Emerald
Weight : 4.0  Ct
Clarity: Eye clean
Colour: Green
Size: 10.1 × 8.4 × 6.8 mm
Shape & Cut: Octagon / Emerald cut
Certificate : GGTL-94864
SKU EM3003 WTC"
1.20ct Natural Emerald,"Rs 339,800.00",339800.0,LKR,https://wijayagems.com/products/1-20-ct-natural-emerald,Natural Emerald,,Eye clean Colour,,Green Shape,Oval,,2025-09-01T13:17:25.966253+00:00,"Gem type: Natural Emerald
Weight : 1.20  Ct
size: 8.5 × 6.7
Clarity: Eye clean
Colour: Green
Shape & Cut: Oval / Step cut ."
4.98ct Natural Emerald (3 Pcs Octagon),"Rs 356,500.00",356500.0,LKR,https://wijayagems.com/products/4-98-ct-natural-emerald,Natural Emerald,,Eye clean Colour,,Green Shape,Octagon,,2025-09-01T13:17:35.571061+00:00,"Gem type: Natural Emerald
Weight : 4.98  Ct
Clarity: Eye clean
Colour: Green
Shape & Cut: Octagon & Emerald cut ."
1.22 ct Natural Emerald,"Rs 339,800.00",339800.0,LKR,https://wijayagems.com/products/1-2-ct-natural-emerald-1,Natural Emerald,1.22,Eye clean S ize,,Green Shape,Pear,,2025-09-01T13:17:44.889872+00:00,"Gem type:
Natural Emerald
Weight: 1.22 carat
Clarity: Eye clean
S
ize: 10.5 X 6.7 mm
Colour: Green
Shape & Cut: Pear & Step cut"
1.55ct Natural Emerald,"Rs 178,300.00",178300.0,LKR,https://wijayagems.com/products/1-55ct-natural-emerald,Natural Emerald,1.55,Eye clean S ize,,Green Shape,Octagon Emerald Certificate,,2025-09-01T13:17:52.097388+00:00,"Gem type:
Natural Emerald
Weight: 1.55 carat
Clarity: Eye clean
S
ize: 6.9X6.6X4.8mm
Colour: Green
Shape & Cut: Octagon Emerald
Certificate: GGTL-C7167"
4.75ct Natural Emerald,"Rs 1,927,200.00",1927200.0,LKR,https://wijayagems.com/products/4-75ct-natural-emerald,Natural Emerald,4.75,Eye clean S ize,,Green Shape,Octagon Emerald,,2025-09-01T13:17:59.489486+00:00,"Gem type: Natural Emerald
Weight: 4.75 carat
Clarity: Eye clean
S
ize: 9.7 X 9.2 X 8.0 mm
Colour: Green
Shape & Cut: Octagon Emerald"
1.45ct Natural Emerald,"Rs 209,500.00",209500.0,LKR,https://wijayagems.com/products/1-45ct-natural-emerald-1,Natural Emerald,1.45,Eye clean S ize,,Green Shape,Octagon Emerald,,2025-09-01T13:18:08.445198+00:00,"Gem type:
Natural Emerald
Weight: 1.45 carat
Clarity: Eye clean
S
ize: 6.8x6.5mm
Colour: Green
Shape & Cut: Octagon Emerald"
3.37ct Natural Emerald - 02 Pcs,"Rs 579,300.00",579300.0,LKR,https://wijayagems.com/products/3-37ct-natural-emerald-02-pcs,Natural Emerald,,Eye clean Colour,,Green Shape,Octagon,,2025-09-01T13:18:18.990050+00:00,"Gem type: Natural Emerald
Weight : 2.45 Ct /0.92 Ct
Size: 7.45×9.1×4.8 / 7.05×5.0×3.45
Clarity: Eye clean
Colour: Green
Shape & Cut: Octagon & Emerald cut"
3.66ct Natural Emerald - 02 Pcs (Oval/Square),"Rs 423,400.00",423400.0,LKR,https://wijayagems.com/products/3-66ct-natural-emerald-02-pcs-oval-square,Natural Emerald,,Eye clean Colour,,Green Shape,Oval,,2025-09-01T13:18:29.282879+00:00,"Gem type: Natural Emerald
Weight : 2.44 Ct /1.22 Ct
Size: 11.25×7.85×4.65 / 6.51×6.25×4.55
Clarity: Eye clean
Colour: Green
Shape & Cut: Oval/Square & Step/Emerald cut"
4.00ct Natural Emerald,"Rs 1,622,000.00",1622000.0,LKR,https://wijayagems.com/products/4-00ct-natural-emerald,Natural Emerald,,Eye clean Colour,10.1 × 8.4 × 6.8 mm,Green Size,Octagon,,2025-09-01T13:18:35.163098+00:00,"Gem type: Natural Emerald
Weight : 4.0  Ct
Clarity: Eye clean
Colour: Green
Size: 10.1 × 8.4 × 6.8 mm
Shape & Cut: Octagon / Emerald cut
Certificate : GGTL-94864
SKU EM3003 WTC"
1.23 ct Natural Emerald,"Rs 189,400.00",189400.0,LKR,https://wijayagems.com/products/1-23-ct-natural-emerald-1,Natural Emerald,,Eye clean Colour,,Green Shape,Octagon,,2025-09-01T13:18:45.335927+00:00,"Gem type: Natural Emerald
Weight : 1.23  Ct
Clarity: Eye clean
Colour: Green
Shape & Cut: Octagon / Emerald cut"
4.00ct Natural Unheated Emerald,"Rs 646,200.00",646200.0,LKR,https://wijayagems.com/products/4-0-ct-natural-emerald,Natural Emerald,4.0,Eye clean S ize,,Green Shape,Pear,Unheated,2025-09-01T13:18:55.504710+00:00,"Gem type: Natural Emerald
Weight: 4.0 carat
Clarity: Eye clean
S
ize: 10.0 X 8.21
X 6.6
mm
Colour: Green
Shape & Cut: Pear & Step cut
Treatment: Unheated / Untreated
Origin: Colombian
Certificates: FGL"
