name,price_text,price_value,currency,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,collected_at
1.16ct Natural Unheated Pink Sapphire,"Rs 713,500.00",713500.0,LKR,Natural Unheated Pink Sapphire,1.16,EC,,Vivid Pink,Oval,Unheated,2025-09-01T12:54:52.564270+00:00
1.30ct Natural Unheated Pink Sapphire,"Rs 590,900.00",590900.0,LKR,Natural Unheated Pink Sapphire,1.30,EC,,Vivid Pink,Oval,Unheated,2025-09-01T12:55:01.449590+00:00
0.77ct Natural Unheated Pink Sapphire,"Rs 356,800.00",356800.0,LKR,Natural Pink Sapphire,0.77,EC,,Vivid Pink,Cushion,Unheated,2025-09-01T12:55:08.550022+00:00
0.89ct Natural Unheated Pink Sapphire,"Rs 412,500.00",412500.0,LKR,Natural Pink Sapphire,0.89,EC,,Vivid Pink,Cushion,Unheated,2025-09-01T12:55:16.102790+00:00
0.93ct Natural Unheated Pink Sapphire Pair,"Rs 245,300.00",245300.0,LKR,Natural Unheated Pink Sapphire,0.93,,5 mm,Reddish Pink,Baguette,Unheated,2025-09-01T12:55:24.452816+00:00
0.85ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,Natural Pink Sapphire,0.85,EC,,Hot Pink,Baguette,Heated,2025-09-01T12:55:33.114759+00:00
1.60ct Natural Unheated Pink Sapphire,"Rs 624,300.00",624300.0,LKR,Natural Unheated Pink Sapphire,1.60,EC,,Purplish Pink,Pear,Unheated,2025-09-01T12:55:40.286901+00:00
0.76ct Natural Pink Sapphire,"Rs 245,300.00",245300.0,LKR,Natural Pink Sapphire,0.76,LC,,Vivid Pink,Cushion,Heated,2025-09-01T12:55:48.582393+00:00
1.17ct Natural Pink Sapphire,"Rs 546,300.00",546300.0,LKR,Natural Pink Sapphire,1.17,EC,6 mm,Vivid Pink,Round,Heated,2025-09-01T12:55:55.225298+00:00
2.21ct  Natural Pink Sapphire,"Rs 1,192,900.00",1192900.0,LKR,Natural Pink Sapphire,2.21,EC,9 x 7 x 5 mm,Vivid Pink,Pear,Heated,2025-09-01T12:56:02.792988+00:00
3.43ct Natural Pink Sapphire,"Rs 758,100.00",758100.0,LKR,Natural Pink Sapphire,3.43,EC,10 x 9 mm,Vivid Pink,Heart,Heated,2025-09-01T12:56:12.308546+00:00
2.54ct Natural Pink Sapphire,"Rs 1,560,800.00",1560800.0,LKR,Natural Pink Sapphire,2.54,EC,7.5 x 7.5 mm,Vivid Pink,Cushion,Heated,2025-09-01T12:56:18.421812+00:00
1.49ct Natural Pink Sapphire,"Rs 468,300.00",468300.0,LKR,Natural Pink Sapphire,1.49,EC,7.2 x 6.6 mm,Vivid Pink,Cushion,Heated,2025-09-01T12:56:27.622010+00:00
1.18ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,Natural Pink Sapphire,1.18,EC,5.9 x 5.5 x 3.6 mm,Pink,Emerald Cut,Heated,2025-09-01T12:56:34.247375+00:00
1.20ct Natural Pink Sapphire,"Rs 735,800.00",735800.0,LKR,Natural Pink Sapphire,1.20,LC,8 x 8 x 4.4 mm,Vivid Pink,Emerald Cut,Heated,2025-09-01T12:56:41.075749+00:00
