name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
1.73ct Natural Unheated Padparadscha,"Rs 780,400.00",780400.0,LKR,https://wijayagems.com/products/1-73ct-natural-unheated-padparadscha,Natural Unheated Padparadscha,1.73,Eye clean Size,7.7 x 7 3.5 mm,Orange Pinkish Shape,Cushion Treatment,Unheated,2025-09-01T12:33:07.188758+00:00,"Gem type: Natural Unheated Padparadscha
Weight:
1.73
carat
Clarity:  Eye clean
Size : 7.7 x 7 3.5 mm
Colour: Orange Pinkish
Shape & Cut: Cushion
Treatment: Unheated"
1.92ct Natural Unheated Padparadscha,"Rs 1,449,300.00",1449300.0,LKR,https://wijayagems.com/products/1-92ct-natural-unheated-padparadscha,Natural Unheated Padparadscha,1.92,Eye clean Size,9.1 x 6.9 x 3.31mm,Orange Pinkish Shape,Oval,Unheated Certificate,2025-09-01T12:33:13.034556+00:00,"Gem type: Natural Unheated Padparadscha
Weight:
1.92
carat
Clarity:  Eye clean
Size : 9.1 x 6.9 x 3.31mm
Colour: Orange Pinkish
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: TGC000493"
6.73ct Natural Unheated Padparadscha,"Rs 2,229,400.00",2229400.0,LKR,https://wijayagems.com/products/5,Natural Unheated Padparadscha,6.73,Eye clean Size,12x9.1x6.7mm,Orange Pinkish Shape,Oval,Unheated Certificate,2025-09-01T12:33:19.580382+00:00,"Gem type: Natural Unheated Padparadscha
Weight:
6.73
carat
Clarity:  Eye clean
Size :12x9.1x6.7mm
Colour: Orange Pinkish
Shape & Cut: Oval ,Step
Treatment: Unheated
Certificate: TGC2024-5807"
2.53ct Unheated Padparadscha,"Rs 1,343,200.00",1343200.0,LKR,https://wijayagems.com/products/2-53,Unheated Padparadscha,2.53,Eye clean Size,9.2x7.2x4.06 mm,Orange Pinkish Shape,Oval,Unheated Certificate,2025-09-01T12:33:26.367177+00:00,"Gem type: Unheated Padparadscha
Weight:  2.53 carat
Clarity:  Eye clean
Size :9.2x7.2x4.06 mm
Colour: Orange Pinkish
Shape & Cut: Oval ,Step
Treatment: Unheated
Certificate: TGC2024-5808"
3.12ct Natural Unheated Padparadscha,"Rs 1,906,400.00",1906400.0,LKR,https://wijayagems.com/products/cu,Natural Unheated Padparadscha,3.12,Eye clean Size,8.4x7.6x5.2mm,Orange Pinkish Shape,Cushion,Unheated Certificate,2025-09-01T12:33:33.401066+00:00,"Gem type: Natural Unheated Padparadscha
Weight:  3.12 carat
Clarity:  Eye clean
Size :8.4x7.6x5.2mm
Colour: Orange Pinkish
Shape & Cut: Cushion ,Step
Treatment: Unheated
Certificate: TGC2024-5809"
1.04ct Natural Unheated Padparadscha,"Rs 289,900.00",289900.0,LKR,https://wijayagems.com/products/1-08,Natural Unheated Padparadscha,1.04,Eye clean Size,7.2x4.9x3.0mm,Orange Pinkish Shape,Oval,Unheated Certificate,2025-09-01T12:33:42.389222+00:00,"Gem type: Natural Unheated Padparadscha
Weight:  1.04 carat
Clarity:  Eye clean
Size : 7.2x4.9x3.0mm
Colour: Orange Pinkish
Shape & Cut: Oval ,Step
Treatment: Unheated
Certificate: TGC2024-5789"
1.11ct Natural Unheated Padparadscha,"Rs 490,600.00",490600.0,LKR,https://wijayagems.com/products/unheated-padparadscha-1-11-carat,Natural Unheated Padparadscha,1.11,Loupe clean Size,7.5x5.6x3.1mm,Pinkish Orange Shape,Oval,Unheated Certificate,2025-09-01T12:33:48.609602+00:00,"Gem type: Natural Unheated Padparadscha
Weight:  1.11 carat
Clarity: Loupe clean
Size : 7.5x5.6x3.1mm
Colour: Pinkish Orange
Shape & Cut: Oval,Step
Treatment: Unheated
Certificate: TGC2024-5790"
2.59ct Natural Unheated Padparadscha,"Rs 735,800.00",735800.0,LKR,https://wijayagems.com/products/unheated-padparadscha-2-59-carat,Natural Unheated Padparadscha,2.59,Eye clean Size,7.6x7.6x4.6mm,Pinkish Orange Shape,Round,Unheated Certificate,2025-09-01T12:33:55.737345+00:00,"Gem type: Natural Unheated Padparadscha
Weight: 2.59 carat
Clarity: Eye clean
Size : 7.6x7.6x4.6mm
Colour: Pinkish Orange
Shape & Cut: Round, Step
Treatment: Unheated
Certificate: TGC2024-5806"
1.08ct Natural Unheated Padparadscha,"Rs 431,000.00",431000.0,LKR,https://wijayagems.com/products/unheated-padparadscha-1-08-carat-1,Natural Unheated Padparadscha,1.08,Loupe clean Size,7.4 x 5.7 x 2.9mm,Pinkish Orange Shape,Oval,Unheated Certificate,2025-09-01T12:34:02.647988+00:00,"Gem type: Natural Unheated Padparadscha
Weight:  1.08 carat
Clarity: Loupe clean
Size : 7.4 x 5.7 x 2.9mm
Colour: Pinkish Orange
Shape & Cut: Oval, Step
Treatment: Unheated
Certificate: TGC2024-5788"
1.26ct Natural Unheated Padparadscha,"Rs 356,800.00",356800.0,LKR,https://wijayagems.com/products/unheated-padparadscha-1-26-carat,Natural Unheated Padparadscha,1.26,Loupe clean Size,7.9 x 6.1 x 3.3mm,Pinkish Orange Shape,Oval,Unheated Certificate,2025-09-01T12:34:11.525129+00:00,"Gem type: Natural Unheated Padparadscha
Weight: 1.26 carat
Clarity: Loupe clean
Size: 7.9 x 6.1 x 3.3mm
Colour: Pinkish Orange
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: TGC2024-5792 ."
