name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
1.16ct Natural Unheated Pink Sapphire,"Rs 713,500.00",713500.0,LKR,https://wijayagems.com/products/1-16ct-natural-unheated-pink-sapphire,Natural Unheated Pink Sapphire,1.16,Eye Clean Size,,Vivid Pink Shape,Oval Treatment,Unheated Certificate,2025-09-01T12:54:52.564270+00:00,"Gem type: Natural Unheated Pink Sapphire
Weight: 1.16 carat
Clarity: Eye Clean
Size: 7.5 x 5.4 x 3.3 m
m
Colour: Vivid Pink
Shape & Cut: Oval
Treatment: Unheated
Certificate: CGS1072602"
1.30ct Natural Unheated Pink Sapphire,"Rs 590,900.00",590900.0,LKR,https://wijayagems.com/products/1-30ct-natural-unheated-pink-sapphire,Natural Unheated Pink Sapphire,1.30,Eye Clean Size,,Vivid Pink Shape,Oval Treatment,Unheated Certificate,2025-09-01T12:55:01.449590+00:00,"Gem type: Natural Unheated Pink Sapphire
Weight: 1.30 carat
Clarity: Eye Clean
Size: 7.5 x 5.2 x 3.9 m
m
Colour: Vivid Pink
Shape & Cut: Oval
Treatment: Unheated
Certificate: TGC-3957"
0.77ct Natural Unheated Pink Sapphire,"Rs 356,800.00",356800.0,LKR,https://wijayagems.com/products/0-77ct-natural-unheated-pink-sapphire,Natural Pink Sapphire,0.77,Eye Clean Size,,Vivid Pink Shape,Cushion Treatment,Unheated,2025-09-01T12:55:08.550022+00:00,"Gem type: Natural Pink Sapphire
Weight: 0.77 carat
Clarity: Eye Clean
Size: 5.2 x 4.6 m
m
Colour: Vivid Pink
Shape & Cut: Cushion
Treatment: Unheated ."
0.89ct Natural Unheated Pink Sapphire,"Rs 412,500.00",412500.0,LKR,https://wijayagems.com/products/0-89ct-natural-unheated-pink-sapphire,Natural Pink Sapphire,0.89,Eye Clean Size,,Vivid Pink Shape,Cushion Treatment,Unheated,2025-09-01T12:55:16.102790+00:00,"Gem type: Natural Pink Sapphire
Weight: 0.89 carat
Clarity: Eye Clean
Size: 5.7 x 4.8 m
m
Colour: Vivid Pink
Shape & Cut: Cushion
Treatment: Unheated ."
0.93ct Natural Unheated Pink Sapphire Pair,"Rs 245,300.00",245300.0,LKR,https://wijayagems.com/products/0-93ct-natural-unheated-pink-sapphire,Natural Unheated Pink Sapphire,0.93,,5 mm,Reddish Pink Size,Baguete SKU,,2025-09-01T12:55:24.452816+00:00,"Gem type: Natural Unheated Pink Sapphire
Weight: 0.93 carat
Colour: Reddish Pink
Size : 5 mm
Shape & Cut: Baguete
SKU : 11M-51"
0.85ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,https://wijayagems.com/products/0-85ct-natural-pink-sapphire,Natural Pink Sapphire,0.85,Eye Clean Size,,Hot Pink Shape,Baguette Treatment,Heated,2025-09-01T12:55:33.114759+00:00,"Gem type: Natural Pink Sapphire
Weight: 0.85 carat
Clarity: Eye Clean
Size: 6.5 x 4.1 x 3m
m
Colour: Hot Pink
Shape & Cut: Baguette
Treatment: Heated ."
1.60ct Natural Unheated Pink Sapphire,"Rs 624,300.00",624300.0,LKR,https://wijayagems.com/products/1-60ct-natural-unheated-pink-sapphire,Natural Unheated Pink Sapphire,1.60,Eye Clean Size,,Purplish Pink Shape,Pear Treatment,Unheated,2025-09-01T12:55:40.286901+00:00,"Gem type: Natural Unheated Pink Sapphire
Weight: 1.60 carat
Clarity: Eye Clean
Size: 8.5 x 6.5m
m
Colour: Purplish Pink
Shape & Cut: Pear
Treatment: Unheated ."
0.76ct Natural Pink Sapphire,"Rs 245,300.00",245300.0,LKR,https://wijayagems.com/products/0-76ct-natural-pink-sapphire,Natural Pink Sapphire,0.76,Loupe Clean Size,,Vivid Pink Shape,Cushion Treatment,Heated,2025-09-01T12:55:48.582393+00:00,"Gem type: Natural Pink Sapphire
Weight: 0.76 carat
Clarity: Loupe Clean
Size: 5.5 x 4.5 x 3.5m
m
Colour: Vivid Pink
Shape & Cut: Cushion
Treatment: Heated .
Videos are available upon request."
1.17ct Natural Pink Sapphire,"Rs 546,300.00",546300.0,LKR,https://wijayagems.com/products/1-17ct-natural-pink-sapphire,Natural Pink Sapphire,1.17,Eye Clean Size,6 mm,Vivid Pink Shape,Round Treatment,Heated,2025-09-01T12:55:55.225298+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.17 carat
Clarity: Eye Clean
Size: 6
mm
Colour: Vivid Pink
Shape & Cut: Round
Treatment: Heated ."
2.21ct  Natural Pink Sapphire,"Rs 1,192,900.00",1192900.0,LKR,https://wijayagems.com/products/2-21ct-natural-pink-sapphire,Natural Pink Sapphire,2.21,Eye Clean Size,9 x 7 x 5 mm,Vivid Pink Shape,Pear Treatment,Heated,2025-09-01T12:56:02.792988+00:00,"Gem type: Natural Pink Sapphire
Weight: 2.21 carat
Clarity: Eye Clean
Size: 9 x 7 x 5
mm
Colour: Vivid Pink
Shape & Cut: Pear
Treatment: Heated ."
3.43ct Natural Pink Sapphire,"Rs 758,100.00",758100.0,LKR,https://wijayagems.com/products/3-43ct-natural-pink-sapphire,Natural Pink Sapphire,3.43,Eye Clean Size,10 x 9 mm,Vivid Pink Shape,Heart Treatment,Heated,2025-09-01T12:56:12.308546+00:00,"Gem type: Natural Pink Sapphire
Weight: 3.43 carat
Clarity: Eye Clean
Size: 10 x 9
mm
Colour: Vivid Pink
Shape & Cut: Heart
Treatment: Heated ."
2.54ct Natural Pink Sapphire,"Rs 1,560,800.00",1560800.0,LKR,https://wijayagems.com/products/2-54ct-natural-pink-sapphire-1,Natural Pink Sapphire,2.54,Eye Clean Size,7.5 x 7.5 mm,Vivid Pink Shape,Cushion Treatment,Heated,2025-09-01T12:56:18.421812+00:00,"Gem type: Natural Pink Sapphire
Weight: 2.54 carat
Clarity: Eye Clean
Size: 7.5 x 7.5
mm
Colour: Vivid Pink
Shape & Cut: Cushion
Treatment: Heated ."
1.49ct Natural Pink Sapphire,"Rs 468,300.00",468300.0,LKR,https://wijayagems.com/products/1-49ct-natural-pink-sapphire,Natural Pink Sapphire,1.49,Eye Clean Size,7.2 x 6.6 mm,Vivid Pink Shape,Cushion Treatment,Heated,2025-09-01T12:56:27.622010+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.49 carat
Clarity: Eye Clean
Size: 7.2 x 6.6
mm
Colour: Vivid Pink
Shape & Cut: Cushion
Treatment: Heated ."
1.18ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,https://wijayagems.com/products/1-18ct-natural-pink-sapphire-1,Natural Pink Sapphire,1.18,Eye Clean Size,5.9 x 5.5 x 3.6 mm,Good colour Shape,Octagon Treatment,Heated,2025-09-01T12:56:34.247375+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.18 carat
Clarity: Eye Clean
Size: 5.9 x 5.5 x 3.6
mm
Colour: Good colour
Shape & Cut: Octagon
Treatment: Heated ."
1.20ct Natural Pink Sapphire,"Rs 735,800.00",735800.0,LKR,https://wijayagems.com/products/1-20ct-natural-pink-sapphire-2,Natural Pink Sapphire,1.20,Loupe Clean Size,8 x 8 x 4.4 mm,Vivid Pink Shape,Octagon Treatment,Heated,2025-09-01T12:56:41.075749+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.20 carat
Clarity: Loupe Clean
Size: 8 x 8 x 4.4
mm
Colour: Vivid Pink
Shape & Cut: Octagon
Treatment: Heated ."
1.05ct Natural Pink Sapphire,"Rs 145,000.00",145000.0,LKR,https://wijayagems.com/products/1-05ct-natural-pink-sapphire-2,Natural Pink Sapphire,1.05,Eye Clean Size,6.4 x 5 x 3 mm,Medium Pink Shape,Octagon Treatment,Heated,2025-09-01T12:56:48.943521+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.05 carat
Clarity: Eye Clean
Size: 6.4 x 5 x 3
mm
Colour: Medium Pink
Shape & Cut: Octagon
Treatment: Heated"
1.03ct Natural Pink Sapphire,"Rs 145,000.00",145000.0,LKR,https://wijayagems.com/products/1-03ct-natural-pink-sapphire,Natural Pink Sapphire,1.03,Eye Clean Size,5.7 x 5.6 x 3.1 mm,Vivid pink Shape,Cushion Treatment,Heated,2025-09-01T12:56:55.705719+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.03 carat
Clarity: Eye Clean
Size: 5.7 x 5.6 x 3.1
mm
Colour: Vivid pink
Shape & Cut: Cushion
Treatment: Heated ."
1.09ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,https://wijayagems.com/products/1-09ct-natural-pink-sapphire,Natural Pink Sapphire,1.09,Eye Clean Size,6.5 x 5.4 x 3.3 mm,Vivid pink Shape,Cushion Treatment,Heated,2025-09-01T12:57:03.403357+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.09 carat
Clarity: Eye Clean
Size: 6.5 x 5.4 x 3.3
mm
Colour: Vivid pink
Shape & Cut: Cushion
Treatment: Heated ."
1.12ct Natural Pink Sapphire,"Rs 178,400.00",178400.0,LKR,https://wijayagems.com/products/1-12ct-natural-pink-sapphire-1,Natural Pink Sapphire,1.12,Eye Clean Size,6.8 x 5.3 x 3.1 mm,Hot pink Shape,Cushion Treatment,Heated,2025-09-01T12:57:10.161626+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.12 carat
Clarity: Eye Clean
Size: 6.8 x 5.3 x 3.1
mm
Colour: Hot pink
Shape & Cut: Cushion
Treatment: Heated ."
1.36ct Natural Pink Sapphire,"Rs 468,300.00",468300.0,LKR,https://wijayagems.com/products/1-36ct-natural-pink-sapphire,Natural Pink Sapphire,1.36,Eye Clean Size,6.3 x 5.9 x 4.2 mm,Hot pink Shape,Cushion Treatment,Heated,2025-09-01T12:57:16.367412+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.36 carat
Clarity: Eye Clean
Size: 6.3 x 5.9 x 4.2
mm
Colour: Hot pink
Shape & Cut: Cushion
Treatment: Heated ."
1.44ct Natural Pink Sapphire,"Rs 211,900.00",211900.0,LKR,https://wijayagems.com/products/1-44ct-natural-pink-sapphire,Natural Pink Sapphire,1.44,Eye Clean Size,7.9 x 5.2 x 3.5 mm,Medium Colour Shape,Cushion Treatment,Heated,2025-09-01T12:57:23.897474+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.44 carat
Clarity: Eye Clean
Size: 7.9 x 5.2  x 3.5
mm
Colour: Medium Colour
Shape & Cut: Cushion
Treatment: Heated ."
1.80ct Natural Pink Sapphire,"Rs 691,200.00",691200.0,LKR,https://wijayagems.com/products/1-80ct-natural-pink-sapphire,Natural Pink Sapphire,1.80,Eye Clean Size,,Vivid Pink Shape,Cushion Treatment,Heated,2025-09-01T12:57:32.021500+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.80 carat
Clarity: Eye Clean
Size: 7.4 x 5.6 x 4.3m
m
Colour: Vivid Pink
Shape & Cut: Cushion
Treatment: Heated ."
2.17ct Natural Pink Sapphire,"Rs 668,900.00",668900.0,LKR,https://wijayagems.com/products/2-17ct-natural-pink-sapphire,Natural Pink Sapphire,2.17,Eye Clean Size,,Pinkish Purple Shape,Cushion Treatment,Heated,2025-09-01T12:57:40.483609+00:00,"Gem type: Natural Pink Sapphire
Weight: 2.17 carat
Clarity: Eye Clean
Size: 7 x 6 x 5.2m
m
Colour: Pinkish Purple
Shape & Cut: Cushion
Treatment: Heated ."
1.54ct Natural Pink Sapphire,"Rs 501,700.00",501700.0,LKR,https://wijayagems.com/products/1-54ct-natural-pink-sapphire-3,Natural Pink Sapphire,1.54,Eye Clean Size,,Hot Pink Shape,Oval,Heated,2025-09-01T12:57:50.926769+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.54 carat
Clarity: Eye Clean
Size: 7.9 x 6.06 x 3.3m
m
Colour: Hot Pink
Shape & Cut: Oval/ Step
Treatment: Heated .
Certificate: FK4-467"
1.65ct Natural Pink Sapphire,"Rs 323,300.00",323300.0,LKR,https://wijayagems.com/products/1-65ct-natural-pink-sapphire,Natural Pink Sapphire,1.65,Eye Clean Size,,Good colour Shape,Oval,Heated,2025-09-01T12:58:08.437340+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.65 carat
Clarity: Eye Clean
Size: 8 x 6m
m
Colour: Good colour
Shape & Cut: Oval/ Step
Treatment: Heated ."
1.95ct Natural Pink Sapphire,"Rs 903,000.00",903000.0,LKR,https://wijayagems.com/products/1-95ct-natural-pink-sapphire-1,Natural Pink Sapphire,1.95,Eye Clean Size,,Vivid Pink Shape,Oval,Heated,2025-09-01T12:58:21.451232+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.95 carat
Clarity: Eye Clean
Size: 9.2 x 7 x 3.5m
m
Colour: Vivid Pink
Shape & Cut: Oval/ Step
Treatment: Heated ."
1.52ct Natural Unheated Pink Sapphire,"Rs 590,900.00",590900.0,LKR,https://wijayagems.com/products/1-52ct-natural-pink-sapphire,Natural Unheatded Pink Sapphire,1.52,Eye Clean Size,,Vivid Pink Shape,Oval,Heated Certificate,2025-09-01T12:58:29.594180+00:00,"Gem type: Natural Unheatded Pink Sapphire
Weight: 1.52 carat
Clarity: Eye Clean
Size: 7.4 x 5.9 x 4m
m
Colour: Vivid Pink
Shape & Cut: Oval/ Step
Treatment: Heated
Certificate: TGC-3955 ."
2.48ct Natural Pink Sapphire,"Rs 758,100.00",758100.0,LKR,https://wijayagems.com/products/2-48ct-natural-pink-sapphire-1,Natural Pink Sapphire,2.48,Eye Clean Size,8.2 x 5.2 mm,Vivid Pink Shape,Oval,Heated,2025-09-01T12:58:36.906322+00:00,"Gem type: Natural Pink Sapphire
Weight: 2.48 carat
Clarity: Eye Clean
Size: 8.2 x 5.2
mm
Colour: Vivid Pink
Shape & Cut: Oval/ Step
Treatment: Heated ."
2.63ct Natural Pink Sapphire,"Rs 1,415,800.00",1415800.0,LKR,https://wijayagems.com/products/2-63ct-natural-pink-sapphire-1,Natural Pink Sapphire,2.63,Eye Clean Size,8.7 x 7.5 mm,Medium Pink Shape,Oval,Heated,2025-09-01T12:58:45.480756+00:00,"Gem type: Natural Pink Sapphire
Weight: 2.63 carat
Clarity: Eye Clean
Size: 8.7 x 7.5
mm
Colour: Medium Pink
Shape & Cut: Oval/ Step
Treatment: Heated ."
1.00ct Natural Pink Sapphire,"Rs 156,100.00",156100.0,LKR,https://wijayagems.com/products/1-00ct-natural-pink-sapphire,Natural Pink Sapphire,1.00,Eye Clean Size,7 x 5.1 x 3.5 mm,Medium Pink Shape,Oval,Heated,2025-09-01T12:58:53.017065+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.00 carat
Clarity: Eye Clean
Size: 7 x 5.1 x 3.5
mm
Colour:  Medium Pink
Shape & Cut: Oval/ Step
Treatment: Heated ."
1.06ct Natural Pink Sapphire,"Rs 245,300.00",245300.0,LKR,https://wijayagems.com/products/1-06ct-natural-pink-sapphire-1,Natural Pink Sapphire,1.06,Eye Clean Size,7 x 5.2 x 3.3 mm,Medium Pink Shape,Oval,Heated,2025-09-01T12:59:00.490335+00:00,"Gem type: Natural Pink Sapphire
Weight: 1.06 carat
Clarity: Eye Clean
Size: 7 x 5.2 x 3.3
mm
Colour:  Medium Pink
Shape & Cut: Oval/ Step
Treatment: Heated ."
