name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
0.55ct Natural Unheated Ruby,"Rs 334,500.00",334500.0,LKR,https://wijayagems.com/products/0-55ct-natural-unheated-ruby,Natural Unheated Ruby,0.55,Eye Clean Size,6.6 x 3.4 x 2.1 mm,Red Shape,Baguette Treatment,Unheated,2025-09-01T12:19:37.541717+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.55 carat
Clarity: Eye Clean
Size: 6.6 x 3.4 x 2.1
mm
Colour: Red
Shape & Cut: Baguette
Treatment: Unheated"
0.70ct Natural Unheated Ruby,"Rs 189,600.00",189600.0,LKR,https://wijayagems.com/products/0-70ct-natural-unheated-ruby-1,Natural Unheated Ruby,0.70,Eye Clean Size,5.8 x 4.5 mm,Red Shape,Oval,Unheated,2025-09-01T12:19:45.724796+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.70 carat
Clarity: Eye Clean
Size: 5.8 x 4.5
mm
Colour: Red
Shape & Cut: Oval /Step
Treatment: Unheated .
Videos are available upon request."
0.70ct Natural Unheated Ruby,"Rs 267,600.00",267600.0,LKR,https://wijayagems.com/products/0-70ct-natural-unheated-ruby,Natural Unheated Ruby,0.70,Loupe Clean Size,5.4 x 3.3 mm,Pinkish Red Shape,Round Treatment,Unheated,2025-09-01T12:19:54.231982+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.70 carat
Clarity: Loupe Clean
Size: 5.4 x 3.3
mm
Colour: Pinkish Red
Shape & Cut: Round
Treatment: Unheated  .
Videos are available upon request."
0.56ct Natural Unheated Ruby,"Rs 211,900.00",211900.0,LKR,https://wijayagems.com/products/0-56ct-natural-unheated-ruby,Natural Unheated Ruby,0.56,Eye Clean Size,5 mm,Red Shape,Round Treatment,Unheated,2025-09-01T12:20:02.197700+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.56 carat
Clarity: Eye Clean
Size: 5
mm
Colour: Red
Shape & Cut: Round
Treatment: Unheated .
Videos are available upon request."
0.54ct Natural Unheated Ruby,"Rs 211,900.00",211900.0,LKR,https://wijayagems.com/products/0-54ct-natural-unheated-ruby,Natural Unheated Ruby,0.54,Eye Clean Size,5 mm,Red Shape,Round Treatment,Unheated Certificate,2025-09-01T12:20:09.394228+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.54 carat
Clarity: Eye Clean
Size: 5
mm
Colour: Red
Shape & Cut: Round
Treatment: Unheated
Certificate: CGS-20103 .
Videos are available upon request."
0.68ct Natural Unheated Ruby,"Rs 189,600.00",189600.0,LKR,https://wijayagems.com/products/0-68ct-natural-unheated-ruby,Natural Unheated Ruby,0.68,Eye Clean Size,6.2 x 4.8 mm,Red Shape,Oval,Unheated,2025-09-01T12:20:16.198934+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.68 carat
Clarity: Eye Clean
Size: 6.2 x 4.8
mm
Colour: Red
Shape & Cut: Oval/Step
Treatment: Unheated  .
Videos are available upon request."
1.39ct Natural Unheated Ruby,"Rs 958,800.00",958800.0,LKR,https://wijayagems.com/products/1-39ct-natural-unheated-ruby,Natural Unheated Ruby,1.39,Loupe Clean Size,7.4 x 5.9 x 3.2 mm,Red Shape,Oval,Unheated Certificate,2025-09-01T12:20:23.616433+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.39 carat
Clarity: Loupe Clean
Size:7.4 x 5.9 x 3.2
mm
Colour: Red
Shape & Cut: Oval/Step
Treatment: Unheated
Certificate: FK9-431 ."
1.07ct Natural Unheated Ruby,"Rs 735,800.00",735800.0,LKR,https://wijayagems.com/products/1-07ct-natural-unheated-ruby,Natural Unheated Ruby,1.07,Eye Clean Size,7 x 4.8 x 3.1 mm,Red Shape,Cushion Treatment,Unheated Certificate,2025-09-01T12:20:33.184421+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.07 carat
Clarity: Eye Clean
Size: 7 x 4.8 x 3.1
mm
Colour: Red
Shape & Cut: Cushion
Treatment: Unheated
Certificate: FK9-477 .
Videos are available upon request."
1.00ct Natural Unheated Ruby,"Rs 390,200.00",390200.0,LKR,https://wijayagems.com/products/1-00ct-natural-unheated-ruby,Natural Unheated Ruby,1.00,Eye Clean Size,7.2 x 6 mm,Red Shape,Pear Treatment,Unheated,2025-09-01T12:20:41.863738+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.00 carat
Clarity: Eye Clean
Size: 7.2 x 6
mm
Colour: Red
Shape & Cut: Pear
Treatment: Unheated  .
Videos are available upon request."
0.85ct Natural Unheated Ruby,"Rs 490,600.00",490600.0,LKR,https://wijayagems.com/products/0-85ct-natural-unheated-ruby,Natural Unheated Ruby,0.85,Eye Clean Size,6.1 x 5.2 mm,Red Shape,Oval,Unheated Certificate,2025-09-01T12:20:49.884033+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.85 carat
Clarity: Eye Clean
Size: 6.1 x 5.2
mm
Colour: Red
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: GGTL-87471 .
Videos are available upon request."
0.92ct Natural Unheated Ruby,"Rs 423,700.00",423700.0,LKR,https://wijayagems.com/products/0-92ct-natural-unheated-ruby,Natural Unheated Ruby,0.92,Eye clean Size,6.2 x 5.2 x 3.6 mm,Pinkish Red Shape,Oval,Unheated Certificate,2025-09-01T12:20:57.454594+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.92 carat
Clarity: Eye clean
Size: 6.2 x 5.2 x 3.6
mm
Colour: Pinkish Red
Shape & Cut: Oval/Step
Treatment: Unheated
Certificate: WG-893 ."
0.80ct Natural Unheated Ruby,"Rs 278,700.00",278700.0,LKR,https://wijayagems.com/products/unheated-ruby-0-80-carat,Natural Unheated Ruby,0.80,,6.x5.0x3.1mm,Red ruby Shape,Oval,Unheated Certificate,2025-09-01T12:21:05.604734+00:00,"Gem type: Natural Unheated Ruby
Weight: 0.80 Carat
Size: 6.x5.0x3.1mm
Colour : Red ruby
Shape & Cut: Oval/ Step cut
Treatment: Unheated
Certificate : FK9-408 ."
1.21ct Natural Unheated Ruby,"Rs 496,100.00",496100.0,LKR,https://wijayagems.com/products/unheated-ruby-1-21-carat,Natural Unheated Ruby,1.21,Eye Clean Size,5.5x6.0mm,Red Ruby Shape,Cushion,,2025-09-01T12:21:14.589867+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.21carat
Clarity: Eye Clean
Size: 5.5x6.0mm
Colour: Red Ruby
Shape & Cut: Cushion/ Step
Certificate : FK9-415 ."
1.58ct  Natural Unheated Ruby,"Rs 793,800.00",793800.0,LKR,https://wijayagems.com/products/1-58ct-natural-ruby,Natural Unheated Ruby,1.58,,8.2 x 6.5 x 3.2mm,Pinkish Red Shape,Cushion,Unheated,2025-09-01T12:21:22.650181+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.58 Carat
Size: 8.2 x 6.5 x 3.2mm
Colour : Pinkish Red
Shape & Cut: Cushion/ Step cut
Treatment: Unheated ."
2.92ct Natural Pink Sapphire,"Rs 732,500.00",732500.0,LKR,https://wijayagems.com/products/2-92ct-natural-pink-sapphire-2-92-ct,Natural Pink Sapphire,2.92,,8x7.6x4.4mm,Orangish Pink Shape,Cushion,,2025-09-01T12:21:32.308374+00:00,"Gem type: Natural Pink Sapphire
Weight: 2.92 Carat
Size: 8x7.6x4.4mm
Colour : Orangish Pink
Shape & Cut: Cushion/ Step cut
Certificate : WG-0362 ."
2.31ct Natural Ruby,"Rs 1,806,000.00",1806000.0,LKR,https://wijayagems.com/products/2-31-ct-natural-ruby,Natural Ruby,2.31,,10.3 × 7 × 3.7 mm,Red Shape,Pear,,2025-09-01T12:21:38.861752+00:00,"Gem type: Natural Ruby
Weight: 2.31 carat
Size: 10.3 × 7 × 3.7 mm
Colour: Red
Shape & Cut: Pear/ Step ."
1.97ct Natural Unheated Ruby,"Rs 1,757,000.00",1757000.0,LKR,https://wijayagems.com/products/1-97-ct-natural-ruby,Natural Unheated Ruby,1.97,,7.9×6.5×3.6 mm,Red Shape,Cushion,,2025-09-01T12:21:46.397904+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.97 carat
Size: 7.9×6.5×3.6 mm
Colour: Red
Shape & Cut: Cushion ."
2.05ct Natural Ruby,"Rs 579,700.00",579700.0,LKR,https://wijayagems.com/products/2-05ct-natural-pink-sapphire,Natural Ruby,2.05,Loupe Clean Colour,7 × 5 mm,Red Size,Pear Step cut,,2025-09-01T12:21:53.540709+00:00,"Gem type: Natural Ruby
Weight: 2.05
carat
Clarity: Loupe Clean
Colour: Red
Size: 7 × 5 mm
Shape & Cut: Pear Step cut"
1.57ct Natural Ruby,"Rs 802,700.00",802700.0,LKR,https://wijayagems.com/products/1-57ct-natural-blue-sapphire-1,Natural Ruby,1.57,Eye Clean Colour,,Pinkish Red Shape,Rectangle cushion Step cut,,2025-09-01T12:22:01.581786+00:00,"Gem type: Natural Ruby
Weight: 1.57 carat
Clarity: Eye Clean
Colour:
Pinkish Red
Shape & Cut: Rectangle cushion Step cut"
1.04ct Natural Unheated Ruby,"Rs 1,137,100.00",1137100.0,LKR,https://wijayagems.com/products/1-04ct-natural-unheated-ruby,Natural Unheated Ruby,1.04,,5.5 × 4.5 × 3.6 mm,Red Shape,Cushion,,2025-09-01T12:22:09.157628+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.04 carat
Size: 5.5 × 4.5 × 3.6 mm
Colour: Red
Shape & Cut: Cushion / Step cut
Certificate : CGS-121105"
1.32ct Natural Unheated Ruby,"Rs 441,500.00",441500.0,LKR,https://wijayagems.com/products/1-32ct-natural-unheated-ruby,Natural Unheated Ruby,1.32,,6.21 x 6.04 x 3.65mm,Red Shape,Cushion,,2025-09-01T12:22:17.232655+00:00,"Gem type: Natural Unheated Ruby
Weight: 1.32 carat
Size : 6.21 x 6.04 x 3.65mm
Colour: Red
Shape & Cut: Cushion/ Step Cut
Certificate : FL1-753
SKU : 11M-RU-14(N)."
