name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
1.00ct Natural Unheated Teal Sapphire,"Rs 156,100.00",156100,LKR,https://wijayagems.com/products/natural-teal-sapphire-hexagon-1-00-carat,Natural Teal Sapphire,1,Loupe clean S ize,,Bluish Green,Hexagon Mixed Treatment,Unheated Certificate,2025-09-01T12:42:08.936103+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.00 carat
Clarity: Loupe clean
S
ize : 6.7X5.6X3.1mm
Colour: Bluish Green (Teal)
Shape & Cut: Hexagon  Mixed
Treatment: Unheated
Certificate:CGS113002"
1.51ct Natural Teal Sapphire-02 Pcs,"Rs 174,000.00",174000,LKR,https://wijayagems.com/products/1-51-ct-natural-teal-sapphire-02-pcs-1,Natural Teal Sapphire,1.51,Eye Clean Size,5 × 4.5 mm,,Cushion,,2025-09-01T12:42:17.657951+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.51 carat
Clarity: Eye Clean
Size: 5 × 4.5 mm
Shape & Cut: Cushion /Step Cut"
1.79ct Natural Teal Sapphire-02 Pcs,"Rs 207,400.00",207400,LKR,https://wijayagems.com/products/1-79-ct-natural-teal-sapphire-02-pcs,Natural Teal Sapphire,1.79,Eye Clean Size,6 × 4.5 mm,,Cushion,,2025-09-01T12:42:25.156254+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.79 carat
Clarity: Eye Clean
Size: 6 × 4.5 mm
Shape & Cut: Cushion /Step Cut"
1.82ct Natural Teal Sapphire-02 Pcs,"Rs 209,600.00",209600,LKR,https://wijayagems.com/products/1-82-ct-natural-teal-sapphire-02-pcs,Natural Teal Sapphire,1.82,Eye Clean Size,5 × 5 mm,,Cushion,,2025-09-01T12:42:32.864492+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.82 carat
Clarity: Eye Clean
Size: 5 × 5 mm
Shape & Cut: Cushion /Step Cut"
1.51ct Natural Teal Sapphire-02 Pcs,"Rs 174,000.00",174000,LKR,https://wijayagems.com/products/1-51-ct-natural-teal-sapphire-02-pcs,Natural Teal Sapphire,1.51,Eye Clean Size,5.5 × 4.5 mm,,Cushion,,2025-09-01T12:42:41.597507+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.51 carat
Clarity: Eye Clean
Size: 5.5 × 4.5 mm
Shape & Cut: Cushion /Step Cut"
4.14ct Natural Teal Sapphire,"Rs 602,000.00",602000,LKR,https://wijayagems.com/products/4-14ct-natural-teal-sapphire,Natural Teal Sapphire,4.14,Eye clean S ize,,Green Blue Shape,Oval Step,Heated,2025-09-01T12:42:48.316094+00:00,"Gem type: Natural Teal Sapphire
Weight: 4.14 carat
Clarity: Eye clean
S
ize : 7x5mm
Colour: Green Blue
Shape & Cut: Oval Step"
1.56ct Natural Teal Sapphire,"Rs 133,800.00",133800,LKR,https://wijayagems.com/products/1-56ct-natural-teal-sapphire,Natural Teal Sapphire,1.56,Eye clean S ize,,Green Blue Shape,Oval Step,Heated,2025-09-01T12:42:58.069293+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.56 carat
Clarity: Eye clean
S
ize :6.2x5.50mm
Colour: Green Blue
Shape & Cut: Oval Step"
1.78ct Natural Teal Sapphire-02 Pcs,"Rs 174,000.00",174000,LKR,https://wijayagems.com/products/1-78ct-natural-teal-sapphire-02-pcs,Natural Teal Sapphire,1.78,Eye Clean Size,5 × 5 mm,,Cushion,,2025-09-01T12:43:07.161170+00:00,"Gem type: Natural Teal Sapphire
Weight: 1.78 carat
Clarity: Eye Clean
Size: 5 × 5 mm
Shape & Cut: Cushion /Step Cut"
1.81ct Natural Teal Sappphire,"Rs 411,400.00",411400,LKR,https://wijayagems.com/products/copy-of-2-55-carat-teal-sappphire,Teal Sapphire,1.81,Eye clean S ize,,Greenish Blue,Oval Step Treatment,Heated Certificate,2025-09-01T12:43:16.203357+00:00,"Gem type: Teal Sapphire
Weight: 1.81 carat
Clarity: Eye clean
S
ize : 7x6x5mm
Colour: Greenish Blue (Teal)
Shape & Cut: Oval Step
Treatment: Heated
Certificate:"
2.55ct Natural Teal Sappphire,"Rs 1,159,400.00",1159400,LKR,https://wijayagems.com/products/1-25carat-natural-royal-blue-sappphire,Natural Teal Sapphire,2.55,Eye clean S ize,,Greenish Blue,Oval Step Treatment,Heated Certificate,2025-09-01T12:43:24.190356+00:00,"Gem type: Natural Teal Sapphire
Weight: 2.55 carat
Clarity: Eye clean
S
ize : 8.7x6.5x6.5mm
Colour: Greenish Blue (Teal)
Shape & Cut: Oval Step
Treatment: Heated
Certificate:"
