name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
1.41ct Natural Yellow Sapphire,"Rs 222,800.00",222800.0,LKR,https://wijayagems.com/products/1-41ct-natural-yellow-sapphire,Natural Yellow Sapphire,1.41,Eye Clean Size,6.8 x 5.7 x 4mm,Yellow Shape,Cushion Treatment,Heated Videos are available upon request,2025-09-01T13:08:28.943892+00:00,"Gem type: Natural Yellow Sapphire
Weight: 1.41 carat
Clarity: Eye Clean
Size: 6.8 x 5.7 x 4mm
Colour: Yellow
Shape & Cut: Cushion
Treatment: Heated
Videos are available upon request."
3.75ct Natural Yellow Sapphire,"Rs 846,700.00",846700.0,LKR,https://wijayagems.com/products/3-75ct-natural-yellow-sapphire,Natural Yellow Sapphire,3.75,Eye Clean Size,8.3 x 8 x 8mm,Yellow Shape,Cushion Treatment,Heated Videos are available upon request,2025-09-01T13:08:37.560739+00:00,"Gem type: Natural Yellow Sapphire
Weight: 3.75 carat
Clarity: Eye Clean
Size: 8.3 x 8 x 8mm
Colour: Yellow
Shape & Cut: Cushion
Treatment: Heated
Videos are available upon request."
2.11ct Natural Yellow Sapphire,"Rs 245,100.00",245100.0,LKR,https://wijayagems.com/products/2-11ct-natural-yellow-sapphire,Natural Yellow Sapphire,2.11,Eye Clean Size,9.00 x 6.20 x 4.40 mm,Yellow Shape,Oval Treatment,Heated Videos are available upon request,2025-09-01T13:08:46.519220+00:00,"Gem type: Natural Yellow Sapphire
Weight: 2.11 carat
Clarity: Eye Clean
Size: 9.00 x 6.20 x 4.40 mm
Colour: Yellow
Shape & Cut: Oval
Treatment: Heated
Videos are available upon request."
1.69ct Natural Yellow Sapphire,"Rs 267,400.00",267400.0,LKR,https://wijayagems.com/products/1-69ct-natural-yellow-sapphire,Natural Yellow Sapphire,1.69,Loupe Clean Size,7 x 5.6 x 4.1mm,Yellow Shape,Cushion Treatment,Heated,2025-09-01T13:08:54.378458+00:00,"Gem type: Natural Yellow Sapphire
Weight: 1.69 carat
Clarity: Loupe Clean
Size: 7 x 5.6 x 4.1mm
Colour: Yellow
Shape & Cut: Cushion
Treatment: Heated"
1.96ct Natural Yellow Sapphire,"Rs 300,800.00",300800.0,LKR,https://wijayagems.com/products/1-96ct-natural-yellow-sapphire,Natural Yellow Sapphire,1.96,Eye Clean Size,7.1 x 7 x 4.8mm,Yellow Shape,Cushion Treatment,Heated Videos are available upon request,2025-09-01T13:09:02.956503+00:00,"Gem type: Natural Yellow Sapphire
Weight: 1.96 carat
Clarity: Eye Clean
Size: 7.1 x 7 x 4.8mm
Colour: Yellow
Shape & Cut: Cushion
Treatment: Heated
Videos are available upon request."
2.69ct Natural Yellow Sapphire,"Rs 612,700.00",612700.0,LKR,https://wijayagems.com/products/3-16ct-natural-yellow-sapphire,Natural Yellow Sapphire,2.69,Eye Clean Size,10.27 x 7.21 x 3.61mm,Yellow Shape,Cushion Treatment,Heated Certificate,2025-09-01T13:09:10.202338+00:00,"Gem type: Natural Yellow Sapphire
Weight: 2.69 carat
Clarity: Eye Clean
Size: 10.27 x 7.21 x 3.61mm
Colour: Yellow
Shape & Cut: Cushion
Treatment: Heated
Certificate: WG-0694"
4.16ct Natural Yellow Sapphire,"Rs 1,024,900.00",1024900.0,LKR,https://wijayagems.com/products/4-16ct-natural-yellow-sapphire,Natural Yellow Sapphire,4.16,Eye Clean Size,10.2 x 8 x 5mm,Yellow Shape,Cushion Treatment,Heated Videos are available upon request,2025-09-01T13:09:18.495730+00:00,"Gem type: Natural Yellow Sapphire
Weight: 4.16 carat
Clarity: Eye Clean
Size: 10.2 x 8 x 5mm
Colour: Yellow
Shape & Cut: Cushion
Treatment: Heated
Videos are available upon request."
4.63ct Natural Orange Sapphire,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/4-63ct-natural-orange-sapphire,Natural Orange Sapphire,4.63,Eye Clean Size,11.7 x 8.5 x 5.8mm,Yellowish Orange Shape,Oval,Heated,2025-09-01T13:09:28.250765+00:00,"Gem type: Natural Orange Sapphire
Weight: 4.63 carat
Clarity: Eye Clean
Size: 11.7 x 8.5 x 5.8mm
Colour: Yellowish Orange
Shape & Cut: Oval/ Step
Treatment: Heated"
2.17ct Natural Yellow Sapphire,"Rs 501,300.00",501300.0,LKR,https://wijayagems.com/products/2-17ct-natural-yellow-sapphire,Natural Yellow Sapphire,2.17,Eye Clean Size,8.7 x 7.2mm,Medium Yellow Shape,Oval,Heated Videos are available upon request,2025-09-01T13:09:36.896090+00:00,"Gem type: Natural Yellow Sapphire
Weight: 2.17 carat
Clarity: Eye Clean
Size: 8.7 x 7.2mm
Colour: Medium Yellow
Shape & Cut: Oval/ Step
Treatment: Heated
Videos are available upon request."
2.64ct Natural Yellow Sapphire,"Rs 601,600.00",601600.0,LKR,https://wijayagems.com/products/2-64ct-natural-yellow-sapphire,Natural Yellow Sapphire,2.64,Eye Clean Size,8.5 x 7.5 x 5.5mm,Orangish yellow Shape,Oval,Heated,2025-09-01T13:09:49.557094+00:00,"Gem type: Natural Yellow Sapphire
Weight: 2.64 carat
Clarity: Eye Clean
Size: 8.5 x 7.5 x 5.5mm
Colour: Orangish yellow
Shape & Cut: Oval/ Step
Treatment: Heated"
7.74ct Natural Yellow Sapphire,"Rs 1,838,100.00",1838100.0,LKR,https://wijayagems.com/products/7-74ct-natural-yellow-sapphire,Natural Yellow Sapphire,7.74,Eye Clean Size,12.3 x 10.4mm,Orangish yellow Shape,Oval,Heated,2025-09-01T13:09:59.165350+00:00,"Gem type: Natural Yellow Sapphire
Weight: 7.74 carat
Clarity: Eye Clean
Size: 12.3 x 10.4mm
Colour: Orangish yellow
Shape & Cut: Oval/ Step
Treatment: Heated"
3.82ct Natural Yellow Sapphire,"Rs 1,091,800.00",1091800.0,LKR,https://wijayagems.com/products/3-82-carat-natural-yellow-sapphire,Natural Yellow Sapphire,3.82,Eye Clean Size,10.5X8.00mm,Medium Yellow Shape,Oval Mixed,,2025-09-01T13:10:08.707181+00:00,"Gem type: Natural Yellow Sapphire
Weight: 3.82 carat
Clarity: Eye Clean
Size: 10.5X8.00mm
Colour: Medium Yellow
Shape & Cut: Oval Mixed."
4.59ct Natural Yellow Sapphire,"Rs 1,292,300.00",1292300.0,LKR,https://wijayagems.com/products/4-59-carat-natural-yellow-sapphire,Natural Yellow Sapphire,4.59,Eye Clean Size,10.3X9.0X6.0mm,Deep Yellow Shape,Oval Mixed,,2025-09-01T13:10:16.088491+00:00,"Gem type: Natural Yellow Sapphire
Weight: 4.59 carat
Clarity: Eye Clean
Size: 10.3X9.0X6.0mm
Colour: Deep Yellow
Shape & Cut: Oval Mixed"
2.27ct Natural Yellow Sapphire,"Rs 441,200.00",441200.0,LKR,https://wijayagems.com/products/2-27ct-natural-yellow-sapphire,Natural Yellow Sapphire,,Eye clean S ize,,Yellow Shape,Radiant Cut Certificate,,2025-09-01T13:10:24.678897+00:00,"Gem type: Natural Yellow Sapphire
Weight: 2.27ct
Clarity: Eye clean
S
ize: 8.2x6.85x4.12mm
Colour: Yellow
Shape & Cut: Radiant Cut
Certificate : WG-911."
2.67ct Natural Yellow Sapphire,"Rs 623,900.00",623900.0,LKR,https://wijayagems.com/products/2-67ct-natural-yellow-sapphire,Natural Yellow Sapphire,,Eye clean S ize,,Yellow Shape,Oval Step Cut Certificate,,2025-09-01T13:10:32.963383+00:00,"Gem type: Natural Yellow Sapphire
Weight: 2.67ct
Clarity: Eye clean
S
ize: 9.4x7.2x4.2mm
Colour: Yellow
Shape & Cut: Oval Step Cut
Certificate : GGTL-87466"
51.86ct Triangle Natural Yellow Sapphire,"Rs 1,742,300.00",1742300.0,LKR,https://wijayagems.com/products/51-86ct-triangle-natural-yellow-sapphire,Natural Yellow Sapphire,,Eye clean S ize,,Yellow Shape,Mix,,2025-09-01T13:10:40.066698+00:00,"Gem type: Natural Yellow Sapphire
Weight: 51.866ct
Clarity: Eye clean
S
ize: Mixed Size
Colour: Yellow
Shape & Cut: Mix"
6.65 ct Natural Yellow Sapphire,"Rs 1,733,400.00",1733400.0,LKR,https://wijayagems.com/products/6-65-ct-natural-yellow-sapphire,Natural Yellow Sapphire,6.65,,7.8 mm,Yellow Shape,Round Flower Cut,,2025-09-01T13:10:47.274916+00:00,"Gem type: Natural Yellow Sapphire
Weight: 6.65  carat
Size: 7.8 mm
Colour: Yellow
Shape & Cut: Round Flower Cut"
17.43ct Natural Yellow Sapphire,"Rs 2,018,600.00",2018600.0,LKR,https://wijayagems.com/products/17-43ct-natural-yellow-sapphire,Natural Yellow Sapphire,,,5.5 mm,Yellow Shape,Cushion step cut,,2025-09-01T13:10:56.924141+00:00,"Gem type: Natural Yellow Sapphire
Weight: 17.43ct
Size: 5.5 mm
Colour: Yellow
Shape & Cut: Cushion step cut"
2.07ct Natural Orange Sapphire,"Rs 418,900.00",418900.0,LKR,https://wijayagems.com/products/2-07ct-natural-orange-sapphire,Natural Orange Sapphire,2.07,,7.49 × 7.30 × 3.88 mm,Orange Shape,Octagon Step Cut Certificate,,2025-09-01T13:11:03.867186+00:00,"Gem type: Natural Orange Sapphire
Weight: 2.07 carat
Size: 7.49  × 7.30 × 3.88 mm
Colour: Orange
Shape & Cut: Octagon Step Cut
Certificate:  LGL-3463"
