name,price_text,price_value,currency,colour,weight_cts,dimensions,category,shape,origin,treatment,clarity,hardness,certificate,collected_at
1.02 Ct Natural Unheated Yellow Sapphire Oval Cut Loose Gem for Jewelry,$ 480.00,480.0,USD,Yellow,1.02,6.85 x 5.06 x 3.80,Sapphire,Oval,Sri Lanka,Unheated,VVS,9.0,Not yet,2025-09-01T15:16:19.608763+00:00
1.57 Ct Natural Blue Sapphire Oval Cut Loose Gem – Ideal for Fine Jewelry Ring,$ 450.00,450.0,USD,Blue,1.57,7.48 x 5.38 x 4.15,Sapphire,Oval,Sri Lanka,Heated,VS,9.0,Not yet,2025-09-01T15:18:17.938387+00:00
Natural Cornflower Blue Sapphire 1.21 Cts Oval Shape Loose Gemstone,$ 689.00,689.0,USD,Blue,1.21,7.14 x 5.93 x 3.62,Sapphire,Oval,Sri Lanka,Heated,VS,9.0,Not yet,2025-09-01T15:18:47.443768+00:00
5.20 Cts Bi-Color Natural Sapphire Cushion Cut – A Stunning Gemstone Perfect for Creating Luxurious Custom Jewelry or Statement Rings,"$ 3,950.00",3950.0,USD,Bi-Color,5.2,10.06 x 7.65 x 6.71,Sapphire,Cushion,Sri Lanka,Heated,VVS,9.0,Not yet,2025-09-01T15:19:45.088072+00:00
Natural Blue Sapphire 1.54 Cts Oval Shape Loose Gemstone,$ 590.00,590.0,USD,Blue,1.54,7.44 x 5.88 x 4.46,Sapphire,Oval,Sri Lanka,Heated,VVS,9.0,Not yet,2025-09-01T15:24:50.289359+00:00
2.24 Cts Cushion Blue Natural Sapphire Elegant Anniversary Gift,$ 500.00,500.0,USD,Blue,2.24,6.75 x 6.65 x 5.09,Sapphire,Cushion,Sri Lanka,Heated,VS,9.0,Not yet,2025-09-01T15:28:46.165180+00:00
Unheated 0.47 Cts Cushion Bi-Color Natural Sapphire Gift for Any Occasion,$ 150.00,150.0,USD,Bi-Color,0.47,4.79 x 4.02 x 2.58,Sapphire,Cushion,Sri Lanka,Unheated,VS,9.0,Not yet,2025-09-01T15:37:24.719690+00:00
Natural Unheated Purple Sapphire 1.58 Cts Oval Cut Loose Gemstone,$ 800.00,800.0,USD,Purple,1.58,6.64 x 5.91 x 4.99,Sapphire,Oval,Sri Lanka,Unheated,VVS,9.0,Not yet,2025-09-01T15:44:03.202330+00:00
Natural Unheated Yellow Sapphire 1.47 Cts Cushion Cut Sri Lanka Loose Gemstone,$ 360.00,360.0,USD,Yellow,1.47,7.87 x 5.17 x 3.96,Sapphire,Cushion,Sri Lanka,Unheated,VVS,9.0,Not yet,2025-09-01T15:44:27.189597+00:00
Natural Unheated Yellow Sapphire 1.36 Cts Emerald Cut Sri Lanka Loose Gemstone,$ 300.00,300.0,USD,Yellow,1.36,6.30 x 5.62 x 3.80,Sapphire,Emerald,Sri Lanka,Unheated,VS,9.0,Not yet,2025-09-01T15:45:34.588782+00:00
0.88 Cts Natural Blue Cushion Sapphire Gemstone for Fine Jewelry Use,$ 220.00,220.0,USD,Blue,0.88,5.78 x 4.26 x 3.52,Sapphire,Cushion,Sri Lanka,Heated,VS,9.0,Not yet,2025-09-01T15:47:44.280560+00:00
1.38 Cts Unheated Natural White Sapphire Emerald Cut for Bridal Gift,$ 600.00,600.0,USD,White,1.38,7.16 x 5.58 x 3.68,Sapphire,Emerald,Sri Lanka,Unheated,VS,9.0,Not yet,2025-09-01T15:48:16.249393+00:00
1.64 Cts Natural Blue Cabochon Sapphire Gemstone for Collectors,$ 999.00,999.0,USD,Blue,1.64,6.10 x 6.06 x 4.43,Sapphire,Cushion,Sri Lanka,Unheated,SI,9.0,Not yet,2025-09-01T15:50:25.145203+00:00
