category_slug,category_name,category_url,product_url,title,vendor,price_current_text,price_current_value,price_compare_text,price_compare_value,currency,sale_badge,sold_out,weight_carat,clarity,size_mm,colour,shape_cut,origin,heated,certificate,sku,desc_h2,desc_h4,raw_description_text,product_id,variant_id,og_image,image_urls_concat,scraped_at
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/natural-teal-sapphire-5-88-carat,Natural Teal sapphire 5.88 carat,J N Gems,"Rs 1,155,800.00",1155800.0,,,LKR,True,False,5.88,Clean,mm mm,Greenish Blue,Cushion mix cut,Madagascar,true,Available upon request,JNTEAL588,,,"Weight (carat): 5.88 Clarity: Clean Size: mm mm Colour: Greenish Blue Shape and Cut: Cushion mix cut Origin: Madagascar Heated: true Certificate: Available upon request SKU: JNTEAL588 Natural Blue-Green Sapphire – 5.88 Carats Experience the captivating beauty of this natural blue-green sapphire , sourced from Madagascar . This stunning gemstone features an enchanting greenish-blue hue , brought to life with excellent cutting quality and a cushion mixed cut that maximizes brilliance and fire. With its mesmerizing color, precision cut , and outstanding clarity, this sapphire is perfect for a statement jewelry piece or a valuable addition to any gemstone collection. Contact us for more details or to secure this exquisite gem today!",7582712922321,42529353629905,http://jngems.com/cdn/shop/files/natural-teal-sapphire-588-carat-288252.jpg?v=1746414775,,2025-09-02T05:25:26.686853+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/teal-sapphire,Teal Sapphire,J N Gems,"Rs 46,300.00",46300.0,,,LKR,True,False,0.86,clean,6.9x4.9 mm,Greenish Blue,"Oval ,step",,true,NA,JNTEAL086,,,"Weight (carat): 0.86 Clarity: clean Size: 6.9x4.9 mm Colour: Greenish Blue Shape and Cut: Oval ,step Origin: Heated: true Certificate: NA SKU: JNTEAL086 Discover the rare beauty of our Teal Sapphire, a stunning and natural gemstone with a unique teal color. With its one-of-a-kind hue and natural properties, this 0.87 carat 6.9x4.9mm gemstone is sure to make a statement in any piece of jewelry. Elevate your collection with this natural wonder.",7565984694481,42493501800657,http://jngems.com/cdn/shop/files/teal-sapphire-510024.jpg?v=1746414790,,2025-09-02T05:25:28.800374+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/padparadscha,Padparadscha,J N Gems,"Rs 80,200.00",80200.0,,,LKR,True,False,0.77,clean,6.8x5.2 mm,pinkish orange,oval step,sri lankan,true,N/A,JNPAD077,,,"Weight (carat): 0.77 Clarity: clean Size: 6.8x5.2 mm Colour: pinkish orange Shape and Cut: oval step Origin: sri lankan Heated: true Certificate: N/A SKU: JNPAD077 Experience the rare beauty of Padparadscha, a natural sapphire that boasts a stunning 5.2x6.8mm oval step cut. This 0.77 carat gem has been expertly heated to bring out its true color and clarity, making it the perfect addition to any fine jewelry collection.",7565986988241,42493504717009,http://jngems.com/cdn/shop/files/padparadscha-328822.jpg?v=1746414826,,2025-09-02T05:25:31.857380+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-3,Blue sapphire,J N Gems,"Rs 84,800.00",84800.0,,,LKR,True,False,1.24,clean,7.5x5.8 mm,vivid,oval step,sri lankan,true,n/a,JNBS124,,,"Weight (carat): 1.24 Clarity: clean Size: 7.5x5.8 mm Colour: vivid Shape and Cut: oval step Origin: sri lankan Heated: true Certificate: n/a SKU: JNBS124 Blue sapphire, a stunning oval 1.24 carat gemstone. With its loupe clean clarity and heated treatment, this blue sapphire offers an exceptional visual experience. Its intense blue hue, coupled with its scientific and objective properties, makes it a prized possession for any jewelry collection.",7565988593873,42493506781393,http://jngems.com/cdn/shop/files/blue-sapphire-992415.jpg?v=1746414830,,2025-09-02T05:25:34.926758+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-5,Blue sapphire,J N Gems,"Rs 107,900.00",107900.0,,,LKR,True,False,1.77,clean,8.7x7.0 mm,ICE BLUE,oval step,sri lankan,true,N/A,JNBS177,,,"Weight (carat): 1.77 Clarity: clean Size: 8.7x7.0 mm Colour: ICE BLUE Shape and Cut: oval step Origin: sri lankan Heated: true Certificate: N/A SKU: JNBS177 As an expert in precious gemstones 1.77 carat , I present to you the stunning Blue Sapphire. With a super luster and rare ice blue oval shape, this gemstone measures 8.8x7.0x4.2 mm and features one inclusion on the bottom side. Add this elegant and unique sapphire to your collection and enjoy its beauty and rarity.",7565990559953,42493508911313,http://jngems.com/cdn/shop/files/blue-sapphire-366563.jpg?v=1746414795,,2025-09-02T05:25:37.913915+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-4,Blue sapphire,J N Gems,"Rs 80,200.00",80200.0,,,LKR,True,False,1.18,clean,7.8x5.2x3.8 mm,medium,"pear ,step",sri lankan,true,N/A,JNBS118,,,"Weight (carat): 1.18 Clarity: clean Size: 7.8x5.2x3.8 mm Colour: medium Shape and Cut: pear ,step Origin: sri lankan Heated: true Certificate: N/A SKU: JNBS118 Blue Sapphire Expertly crafted from a 1.18 carat natural blue sapphire, this stunning pear-shaped gem boasts a vibrant and Medium blue hue. Measuring 7.8x5.2x3.8mm, it is top clean and radiates pure elegance. A must-have for any gemstone collector or jewelry enthusiast.",7565989511377,42493507829969,http://jngems.com/cdn/shop/files/blue-sapphire-698317.jpg?v=1746414785,,2025-09-02T05:25:40.643874+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/white-sapphire-1-23-carat,White Sapphire 1.23 carat,jngems,"Rs 67,900.00",67900.0,,,LKR,True,False,1.23,Loupe Clean,6.0x5.5mm mm,White,Asscher diamond cut,Sri Lanka,true,N/A,JNWS123,,,"Weight (carat): 1.23 Clarity: Loupe Clean Size: 6.0x5.5mm mm Colour: White Shape and Cut: Asscher diamond cut Origin: Sri Lanka Heated: true Certificate: N/A SKU: JNWS123 ""Explore the beauty of Sri Lankan origin with our White Sapphire, a 1.23 carat colorless Asscher cut gemstone. Its impeccable luster and flawless clarity make it a perfect choice for any jewelry piece. Elevate your style with this stunning and ethically-sourced gemstone.""",7565688864977,42493065035985,http://jngems.com/cdn/shop/files/white-sapphire-123-carat-426668.jpg?v=1746414824,,2025-09-02T05:25:47.273750+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-55carat,Blue Sapphire 1.55carat,jngems,"Rs 107,900.00",107900.0,,,LKR,True,False,1.55,Loupe Clean,8.5x6.5x3.3mm mm,Vivid Blue,Oval Step,Sri Lanka,true,,JNBS155,Blue sapphire,,"Weight (carat): 1.55 Clarity: Loupe Clean Size: 8.5x6.5x3.3mm mm Colour: Vivid Blue Shape and Cut: Oval Step Origin: Sri Lanka Heated: true Certificate: SKU: JNBS155 Blue sapphire Weight : 1.55 carat Size : 8.5x6.5x3.3mm Shape & cut : Oval/ step Brilliant Clarity : loupe clean Treatment : Heated Color : vivid Blue This stunning blue sapphire boasts a weight of 1.55 carat, measuring 8.5x6.5x3.3mm in a classic Oval/Step Brilliant cut. With a clarity of loupe clean and a vivid blue color, this gem is the perfect choice for a bold and eye-catching piece. Its deep, rich hue is achieved through a heating treatment, ensuring a vibrant and mesmerizing look. Enhance your jewelry collection with this exquisite blue sapphire.",7562029957329,42484604829905,http://jngems.com/cdn/shop/files/blue-sapphire-155carat-930564.jpg?v=1746414826,,2025-09-02T05:25:50.350338+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-88-carat-ice-blue,Blue Sapphire 1.88 carat - Ice Blue,jngems,"Rs 85,700.00",85700.0,,,LKR,True,False,1.88,Loupe Clean,7x5 mm mm,Ice Blue,Oval Step,Sri Lanka,true,,JNBS188,,,"Weight (carat): 1.88 Clarity: Loupe Clean Size: 7x5 mm mm Colour: Ice Blue Shape and Cut: Oval Step Origin: Sri Lanka Heated: true Certificate: SKU: JNBS188 Blue sapphire ice Blue Weight : 1.88 carat Size : 7x5 mm Shape & cut : Step / Flower Brilliant Clarity : loupe clean Treatment : Heated Color : Pastel Blue This blue sapphire, weighing 1.88 carats and having a size of 7x5 mm, is cut in a unique Step/Flower Brilliant shape. With its loupe clean clarity and heat-treated treatment, this gemstone shines with a delicate pastel blue color, perfect for adding a touch of elegance to any jewelry piece. With its natural beauty and high-quality features, this blue sapphire is a must-have for any gemstone collector or jewelry enthusiast.",7562029367505,42484596932817,http://jngems.com/cdn/shop/files/blue-sapphire-188-carat-ice-blue-130954.jpg?v=1746414786,,2025-09-02T05:25:52.753693+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-2-24carat-silky-blue,Blue Sapphire 2.24carat- silky Blue,jngems,"Rs 271,300.00",271300.0,,,LKR,True,False,2.24,Eye Clean,7.8x6.5x5.4mm mm,Pastel Blue,Oval Step,Sri Lanka,true,,,Silky Blue sapphire ( smorky),,"Weight (carat): 2.24 Clarity: Eye Clean Size: 7.8x6.5x5.4mm mm Colour: Pastel Blue Shape and Cut: Oval Step Origin: Sri Lanka Heated: true Certificate: SKU: Silky Blue sapphire ( smorky) Weight : 2.24carat Size : 7.8x6.6x5.4mm Shape & cut : Step / Flower Brilliant Clarity : loupe clean Treatment : Heated Color : Pastel Blue Expertly crafted with a silky blue hue, this Blue Sapphire weighs 2.24 carats and measures 7.8x6.6x5.4mm. Its Step/Flower Brilliant cut and loupe clean clarity provide a stunning and radiant sparkle. With a pastel blue color and heated treatment, this gemstone is pure elegance.",7561962455249,42484425720017,http://jngems.com/cdn/shop/files/blue-sapphire-224carat-silky-blue-604967.jpg?v=1746414814,,2025-09-02T05:25:57.752289+00:00
