Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Source,Origin (Mine/Region),Date of Sale/Valuation,Seller Location,Buyer Type,Certification Status,Certificate/Report ID,
Sapphire,Padparadscha,16.25,Emerald Cut,,IF - Internally Flawless,Heat Treatment,"5,000,000.00","4,600,000.00",,Local Seller,Sri lanka ,,,Local,Certified,,
Sapphire,Pink Sapphire,2.00,Oval,,IF - Internally Flawless,Natural ,"200,000.00","165,000.00",,Local Seller,Sri lanka ,,,Local,Not Certified,,
Sapphire,Blue Sapphire,2.20,Oval,,VS - Very Slightly Included,Heat Treatment,"125,000.00","100,000.00",,Local Seller,Sri lanka ,,,Local,Certified,,
Sapphire,Yellow Sapphire,2.35,Oval,,VVS - Very Very Slightly Included,Natural ,"100,000.00","80,000.00",,Local Seller,Sri lanka ,,,Local,Certified,,
Sapphire,Blue Sapphire,4.00,Cushion,,IF - Internally Flawless,Natural ,"2,000,000.00","1,650,000.00",,Local Seller,Sri lanka ,,,Local,Certified,,
Geuda,Blue Sapphire,15.00,Rough,Royal Blue,IF - Internally Flawless,Heat Treatment,"2,500,000.00","3,000,000.00",,Local Seller,Sri lanka ,,,Local,Not Certified,,
Geuda,Blue Sapphire,5.00,Rough,Royal Blue,IF - Internally Flawless,Heat Treatment,"150,000.00","200,000.00",,Local Seller,Sri lanka ,,,Local,Not Certified,,
Sapphire,Yellow Sapphire,6.50,Rough,Yellow,IF - Internally Flawless,Natural ,"50,000.00","75,000.00",,Local Seller,Sri lanka ,,,Local,Not Certified,,
Sapphire,Blue Sapphire,7.30,Rough,Corn flour,IF - Internally Flawless,Natural ,"225,000.00","600,000.00",,Local Seller,Sri lanka ,,,Local,Not Certified,,
Geuda,Blue Sapphire,22.00,Rough,Light Blue,IF - Internally Flawless,Heat Treatment,"320,000.00","600,000.00",,Local Seller,Sri lanka ,,,Local,Not Certified,,
Geuda,Blue Sapphire,7.50,Rough,,IF - Internally Flawless,Heat Treatment,"475,000.00","100,000.00",,Local Seller,SRi lanka ,,,Local,Not Certified,,
Sapphire,Yellow Sapphire,5.00,Oval,Yellow,IF - Internally Flawless,Heat Treatment,"700,000.00","700,000.00",,Local Seller,Sri Lanka ,,,Local,,,
Sapphire,Ruby,8.00,Rough,Red,IF - Internally Flawless,Heat Treatment,"10,000,000.00","9,000,000.00",,Local Seller,Sri Lanka ,,,Local,,,
Cat's Eye,Cat's Eye,2.00,Round,Green,IF - Internally Flawless,Heat Treatment,"100,000.00","10,000.00",,Local Seller,Sri Lanka ,,,Local,,,
Spinel,Spinel,1.00,Oval,Pink,IF - Internally Flawless,Natural ,"200,000.00","190,000.00",,Local Seller,Sri Lanka ,,,Local,,,
Alexandrite,Alexandrite,5.21,Oval,Multi colors,IF - Internally Flawless,Natural ,"39,600,000.00","40,000,000.00",,Local Seller,Sri Lanka ,,,Local,,,
