Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Zircon,Orange,2.12,Mixed Brilliant Oval,Orange,Eye Clean,No Enhancement,27625.0,,8.94 x 6.98 x 3.86,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,21.12,Cabochon Oval,White,Very Very Slightly Included,No Enhancement,68575.0,,18.88 x 16.06 x 9.54,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,4.93,Mixed Brilliant Oval,Yellowish Brown,Very Slightly Included,Heat Treated,104000.0,,11.34 x 8.06 x 5.07,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Blue,1.71,Mixed Brilliant Cushion,Blue,Very Slightly Included,No Enhancement,347750.0,,7.45 x 6.67 x 3.97,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,9.66,Cabochon Oval,Peach,Very Slightly Included,No Enhancement,31525.0,,16.36 x 11.87 x 7.28,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Blue,0.95,Mixed Brilliant Cushion,Blue,Eye Clean,No Enhancement,308750.0,,7.09 x 5.39 x 2.93,Certified by Natural Sapphire Company,2025-09-08
Zircon,Peach,4.36,Mixed Brilliant Oval,Peach,Very Slightly Included,Heat Treated,117000.0,,10.01 x 8.11 x 5.24,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,2.23,Mixed Brilliant Pear,Brown,Very Slightly Included,No Enhancement,28925.0,,10.58 x 6.65 x 3.55,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Black,73.71,Cabochon Oval,Black,Very Very Slightly Included,No Enhancement,335400.0,,32.73 x 26.5 x 11.6,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,7.07,Cabochon Oval,White,Eye Clean,No Enhancement,23075.0,,15.39 x 8.21 x 7.19,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Red,0.91,Mixed Brilliant Oval,Red,Eye Clean,No Enhancement,29575.0,,6.28 x 5.14 x 3.57,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Brown,30.67,Cabochon Round,Brown,Eye Clean,No Enhancement,139425.0,,20.33 x 20.1 x 10.56,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Pinkish Purple,0.82,Mixed Brilliant Pear,Pinkish Purple,Eye Clean,No Enhancement,31850.0,,7.48 x 5.11 x 3.03,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,26.42,Cabochon Oval,White,Very Very Slightly Included,No Enhancement,120250.0,,18.2 x 15.12 x 12.86,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Blue,3.35,Mixed Brilliant Round,Blue,Eye Clean,Heat Treated,783900.0,,9.46 x 9.47 x 7.32,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,40.29,Cabochon Oval,White,Very Very Slightly Included,No Enhancement,183300.0,,23.95 x 21.78 x 11.14,Certified by Natural Sapphire Company,2025-09-08
Zircon,Red,2.16,Mixed Brilliant Marquise,Red,Eye Clean,No Enhancement,27950.0,,13.72 x 5.63 x 3.35,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,7.87,Cabochon Oval,Grey,Very Slightly Included,No Enhancement,25675.0,,13.8 x 11.5 x 6.94,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,62.59,Cabochon Oval,Grey,Very Slightly Included,No Enhancement,284700.0,,27.71 x 19.99 x 15.56,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Brownish Yellow,0.5,Mixed Brilliant Pear,Green to Brownish Yellow,Very Very Slightly Included,No Enhancement,325000.0,,5.44 x 3.98 x 3.14,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,1.53,Mixed Brilliant Oval,Rainbow,Eye Clean,No Enhancement,74750.0,,9.1 x 6.6 x 4.66,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,2.15,Mixed Brilliant Pear,Yellowish Brown,Slightly Included,No Enhancement,88075.0,,9.44 x 5.78 x 4.48,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Yellowish Green to Reddish Green,1.51,Mixed Brilliant Oval,Yellowish Green to Reddish Green,Very Slightly Included,No Enhancement,1275950.0,,7.45 x 6.06 x 4.02,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,43.34,Cabochon Round,Grey,Very Very Slightly Included,No Enhancement,197275.0,,21.07 x 20.71 x 13.25,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,10.61,Cabochon Oval,Grey,Very Very Slightly Included,No Enhancement,34450.0,,16.86 x 13.16 x 6.29,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Pinkish Purple,1.14,Mixed Brilliant Oval,Pinkish Purple,Very Slightly Included,No Enhancement,59150.0,,6.8 x 5.43 x 3.88,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Brown,0.37,Mixed Brilliant Oval,Green to Brown,Very Slightly Included,No Enhancement,195000.0,,4.57 x 3.61 x 2.7,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,15.16,Cabochon Oval,White,Very Slightly Included,No Enhancement,49400.0,,19.81 x 14.21 x 7.38,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Purple,2.35,Mixed Brilliant Cushion,Purple,Eye Clean,No Enhancement,152750.0,,8.29 x 6.72 x 4.74,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Reddish Purple,1.57,Emerald Cut Emerald Cut,Reddish Purple,Eye Clean,No Enhancement,81575.0,,7.9 x 5.57 x 3.87,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,31.13,Cabochon Oval,Grey,Very Very Slightly Included,No Enhancement,141700.0,,21.14 x 14.47 x 14.27,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Brown,11.26,Cabochon Oval,Brown,Very Very Slightly Included,No Enhancement,36725.0,,13.97 x 11.41 x 9.61,Certified by Natural Sapphire Company,2025-09-08
