Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Ruby,Purplish Red,4.12,Mixed Brilliant Cushion,Purplish Red,Slightly Included,No Enhancement,14561625.0,,8.87 x 8.63 x 5.88,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,5.32,Mixed Brilliant Oval,Red,Slightly Included,No Enhancement,25208950.0,,11.73 x 8.9 x 6.27,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,1.52,Mixed Brilliant Heart,Red,Eye Clean,Heat Treated,2939300.0,,7.41 x 7.19 x 3.92,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,0.62,Emerald Cut Emerald Cut,Red,Very Slightly Included,Heat Treated,261950.0,,6.03 x 3.83 x 2.36,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,0.84,Mixed Brilliant Oval,Pinkish Red,Very Slightly Included,Heat Treated,464100.0,,6.95 x 4.8 x 2.7,Certified by Natural Sapphire Company,2025-09-08
Ruby,Purplish Red,1.51,Mixed Brilliant Round,Purplish Red,Eye Clean,Heat Treated,2836600.0,,6.8 x 6.64 x 4.12,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,0.34,Princess Cut Princess,Red,Very Slightly Included,Heat Treated,149175.0,,4.18 x 4.1 x 1.96,Certified by Natural Sapphire Company,2025-09-08
Ruby,Purplish Red,1.54,Mixed Brilliant Pear,Purplish Red,Very Slightly Included,Heat Treated,1203800.0,,8.38 x 5.93 x 4.1,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,1.23,Mixed Brilliant Cushion,Pinkish Red,Very Slightly Included,Heat Treated,279825.0,,7.6 x 5.33 x 2.94,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,1.49,Mixed Brilliant Cushion,Red,Slightly Included,No Enhancement,4116125.0,,6.62 x 5.73 x 4.22,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,0.58,Mixed Brilliant Pear,Pinkish Red,Very Slightly Included,Heat Treated,216775.0,,5.66 x 4.18 x 2.88,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,0.69,Mixed Brilliant Cushion,Red,Slightly Included,No Enhancement,448500.0,,4.92 x 4.68 x 3.04,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,0.6,Mixed Brilliant Pear,Pinkish Red,Very Slightly Included,Heat Treated,224250.0,,5.9 x 4.07 x 2.99,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,2.11,Emerald Cut Emerald Cut,Red,Eye Clean,Heat Treated,3963700.0,,8.24 x 6.73 x 4.06,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,1.3,Mixed Brilliant Oval,Red,Very Slightly Included,Heat Treated,1899300.0,,8.01 x 6.07 x 3.15,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,1.02,Emerald Cut Emerald Cut,Pinkish Red,Very Slightly Included,Heat Treated,1533350.0,,7.34 x 5.06 x 2.4,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,1.56,Emerald Cut Emerald Cut,Red,Slightly Included,No Enhancement,2227550.0,,8.44 x 6.29 x 2.83,Certified by Natural Sapphire Company,2025-09-08
Ruby,Purplish Red,1.08,Mixed Brilliant Oval,Purplish Red,Very Slightly Included,Heat Treated,327275.0,,6.37 x 4.93 x 4.0,Certified by Natural Sapphire Company,2025-09-08
Ruby,Purplish Red,0.52,Mixed Brilliant Round,Purplish Red,Slightly Included,Heat Treated,439400.0,,4.59 x 4.62 x 3.05,Certified by Natural Sapphire Company,2025-09-08
Ruby,Purplish Red,1.08,Mixed Brilliant Round,Purplish Red,Slightly Included,Heat Treated,1053000.0,,5.85 x 5.8 x 4.1,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,1.49,Mixed Brilliant Oval,Pinkish Red,Slightly Included,Heat Treated,1612650.0,,7.98 x 5.9 x 3.55,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,1.29,Mixed Brilliant Oval,Red,Very Slightly Included,Heat Treated,1884675.0,,7.79 x 5.75 x 3.52,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,2.03,Asscher Asscher - Octagon,Red,Very Slightly Included,Heat Treated,2074800.0,,6.73 x 6.36 x 4.71,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,1.44,Mixed Brilliant Oval,Red,Very Slightly Included,Heat Treated,2104050.0,,7.94 x 5.99 x 3.65,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,0.93,Mixed Brilliant Pear,Pinkish Red,Very Slightly Included,Heat Treated,423150.0,,7.31 x 5.66 x 2.78,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,0.4,Mixed Brilliant Pear,Pinkish Red,Very Slightly Included,Heat Treated,123500.0,,5.74 x 4.04 x 2.08,Certified by Natural Sapphire Company,2025-09-08
Ruby,Red,0.71,Mixed Brilliant Cushion,Red,Very Slightly Included,Heat Treated,692250.0,,4.98 x 4.26 x 3.68,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,0.81,Mixed Brilliant Oval,Pinkish Red,Very Slightly Included,Heat Treated,658125.0,,6.99 x 5.01 x 2.76,Certified by Natural Sapphire Company,2025-09-08
Ruby,Pinkish Red,2.07,Asscher Asscher - Octagon,Pinkish Red,Slightly Included,Heat Treated,672750.0,,7.36 x 6.83 x 3.98,Certified by Natural Sapphire Company,2025-09-08
