Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Sapphire,Blue,0.77,Mixed Brilliant Oval,Blue,Eye Clean,Heat Treated,675675.0,,7.0 x 4.9 x 2.81,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,1.0,Mixed Brilliant Cushion,Blue,Very Slightly Included,Heat Treated,325000.0,,7.42 x 4.8 x 3.18,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Purple,1.75,Mixed Brilliant Pear,Purple,Very Very Slightly Included,No Enhancement,325000.0,,8.95 x 5.77 x 4.33,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,3.04,Asscher Asscher - Octagon,Blue,Eye Clean,Heat Treated,5038800.0,,8.09 x 7.96 x 5.03,Certified by Natural Sapphire Company,2025-09-06
Sapphire,White,2.02,Step Cut Fancy,White,Eye Clean,No Enhancement,984750.0,,8.37 x 9.55 x 3.31,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Pink,1.56,Mixed Brilliant Heart,Pink,Eye Clean,Heat Treated,1115400.0,,6.86 x 7.88 x 4.02,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,0.89,Princess Cut Princess,Blue,Eye Clean,Heat Treated,318175.0,,5.14 x 5.13 x 3.24,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,1.28,Mixed Brilliant Marquise,Blue,Very Very Slightly Included,No Enhancement,374400.0,,11.23 x 4.73 x 3.21,Certified by Natural Sapphire Company,2025-09-06
Sapphire,White,1.65,Princess Cut Princess,White,Eye Clean,No Enhancement,643500.0,,6.86 x 6.78 x 3.75,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Purple,0.83,Emerald Cut Emerald Cut,Purple,Very Very Slightly Included,No Enhancement,97500.0,,6.18 x 4.19 x 3.09,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Pink,1.52,Mixed Brilliant Heart,Pink,Eye Clean,Heat Treated,988000.0,,6.54 x 7.56 x 4.17,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Yellow,5.12,Mixed Brilliant Round,Yellow,Eye Clean,Heat Treated,2770625.0,,10.04 x 9.93 x 6.54,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Purple,1.97,Emerald Cut Emerald Cut,Purple,Eye Clean,No Enhancement,2961075.0,,8.01 x 5.95 x 4.47,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,2.8,Mixed Brilliant Round,Blue,Eye Clean,Heat Treated,2946125.0,,8.08 x 7.94 x 5.62,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,2.07,Emerald Cut Emerald Cut,Blue,Eye Clean,No Enhancement,2987075.0,,7.3 x 6.43 x 4.37,Certified by Natural Sapphire Company,2025-09-06
Sapphire,White,1.54,Mixed Brilliant Round,White,Very Slightly Included,Heat Treated,344500.0,,7.31 x 7.32 x 4.07,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Pink,3.05,Mixed Brilliant Oval,Pink,Very Slightly Included,Heat Treated,5888025.0,,10.08 x 8.07 x 4.48,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,1.28,Mixed Brilliant Heart,Blue,Eye Clean,Heat Treated,956800.0,,6.8 x 6.95 x 3.57,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,4.08,Asscher Asscher - Octagon,Blue,Eye Clean,Heat Treated,7657650.0,,8.53 x 8.41 x 5.86,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Pink,2.04,Mixed Brilliant Oval,Pink,Eye Clean,No Enhancement,2146300.0,,8.89 x 5.9 x 4.43,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Yellow,19.52,Radiant Cut Radiant,Yellow,Very Slightly Included,Heat Treated,14749800.0,,16.3 x 13.17 x 9.09,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Pink,2.63,Mixed Brilliant Oval,Pink,Eye Clean,Heat Treated,2906150.0,,9.84 x 6.96 x 4.35,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Purple,1.55,Radiant Cut Radiant,Purple,Eye Clean,No Enhancement,1007500.0,,7.41 x 5.95 x 3.55,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Purple,2.13,Mixed Brilliant Oval,Purple,Eye Clean,No Enhancement,2824250.0,,8.3 x 6.54 x 4.95,Certified by Natural Sapphire Company,2025-09-06
Sapphire,White,1.94,Mixed Brilliant Round,White,Very Slightly Included,Heat Treated,344175.0,,7.95 x 7.95 x 4.31,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Blue,1.2,Mixed Brilliant Heart,Blue,Eye Clean,Heat Treated,682500.0,,6.45 x 6.75 x 3.96,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Padparadscha,1.14,Mixed Brilliant Round,Padparadscha,Very Very Slightly Included,No Enhancement,1233700.0,,6.27 x 6.18 x 3.91,Certified by Natural Sapphire Company,2025-09-06
Sapphire,Pink,1.63,Mixed Brilliant Pear,Pink,Eye Clean,Heat Treated,1323075.0,,8.65 x 6.04 x 4.31,Certified by Natural Sapphire Company,2025-09-06
